phenotype,Genes,n,rho,p,q_global,q_within
mrs_Hep,RASA3,18,0.401444788441692,0.0998132281191095,1,1
M_mg.kg.min,IGKV1-39;IGKV1D-39,18,-0.401444788441692,0.0998132281191096,1,0.988378186379285
VO2max.kg,TUBB1,26,-0.329854697249064,0.0998364834202746,1,0.86939810923426
VO2max.kg,RAN,20,0.378480167338495,0.099864924624509,1,0.86939810923426
mri_IP,STX11,25,-0.336603199148282,0.0999146419502943,1,0.999906809281029
Weight,INPP5D,21,-0.368540961643747,0.10019443314552,1,0.999276979001456
mrs_Musc,GNA13,18,-0.399807430816822,0.100203744962087,1,0.995917543552641
mri_SAT,AIFM1,20,-0.378947368421053,0.100227040923247,1,0.73952786389356
mrs_Musc,MPL,16,-0.42562539969395,0.100244302811906,1,0.995917543552641
mri_TAT,TUBGCP2,19,-0.389473684210526,0.100248453780362,1,0.882204278291872
mrs_Hep,GSR,19,-0.389473684210526,0.100248453780362,1,1
mrs_Hep,HSPA5,19,-0.389473684210526,0.100248453780362,1,1
VO2max.kg,MAPKAPK3,24,-0.343416960655928,0.100385142571521,1,0.86939810923426
VO2max.kg,DARS1,18,0.399587043441333,0.100408500880373,1,0.86939810923426
mri_IP,SLC16A7,18,-0.399587043441333,0.100408500880373,1,0.999906809281029
mri_IP,ITPKB,21,0.368301415982011,0.100432388692175,1,0.999906809281029
mri_IP,SND1,21,0.368301415982011,0.100432388692175,1,0.999906809281029
Weight,CD84,20,-0.377870018809098,0.100457526959153,1,0.999276979001456
ChestPress,STK3,24,-0.343269366603053,0.100540933153161,1,0.903550016639837
mri_IP,TPP1,22,-0.359220573488574,0.100614855490925,1,0.999906809281029
LegPress,DMTN,26,-0.329046568407475,0.100719841540884,1,0.996392398835066
M_mg.kg.min,VAPB,24,0.343478260869565,0.10077444287909,1,0.988378186379285
VO2max.kg,SULT1A1,19,0.387889462527779,0.100802675280314,1,0.86939810923426
mri_SAT,MENT,26,0.329230769230769,0.100864203475753,1,0.73952786389356
M_mg.kg.min,KNG1,26,-0.329230769230769,0.100864203475753,1,0.988378186379285
mri_SAT,PRKCSH,26,-0.329230769230769,0.100864203475753,1,0.73952786389356
VO2max.kg,CRP,25,0.335707566461257,0.100877164767772,1,0.86939810923426
VO2max.kg,PCBP2,16,0.426470588235294,0.101056073705994,1,0.86939810923426
LegPress,FBLN1,26,0.328703454154704,0.101096653702446,1,0.996392398835066
mrs_Musc,PLXNB2,18,-0.398773678857335,0.101166779578847,1,0.995917543552641
PullDown,TUBB4B,25,-0.335380006781562,0.101230903490893,1,0.998157011554019
FFM,MGST3,18,-0.398554518781278,0.1013717985186,1,0.998761796865375
PullDown,PRUNE1,24,-0.342329330059776,0.101537380253604,1,0.998157011554019
PullDown,F12,21,0.367193492155246,0.101538339592019,1,0.998157011554019
FFM,STK10,19,0.387011884558259,0.101642632521511,1,0.998761796865375
ChestPress,EIF2S3,25,-0.334997832839543,0.101644785170387,1,0.903550016639837
mri_SAT,SEC11A,18,-0.39938080495356,0.101691677971508,1,0.73952786389356
LegPress,RABL6,16,-0.423933261279651,0.101748084209453,1,0.996392398835066
M_mg.kg.min,CARMIL1,17,-0.411764705882353,0.101831495815047,1,0.988378186379285
mri_TAT,PDK1,17,0.411764705882353,0.101831495815047,1,0.882204278291872
M_mg.kg.min,PPP6C,21,0.367532467532468,0.101877014558428,1,0.988378186379285
mri_SAT,RNH1,22,0.358554488989272,0.10187818865205,1,0.73952786389356
mri_TAT,TMED7,22,-0.358554488989272,0.10187818865205,1,0.882204278291872
mrs_Hep,MASP2,19,-0.387719298245614,0.101889173038917,1,1
mrs_Hep,TNC,19,-0.387719298245614,0.101889173038917,1,1
mrs_Hep,MASP1,19,-0.387719298245614,0.101889173038917,1,1
mri_TAT,IGHV3-15,25,0.334679752296006,0.101990212923317,1,0.882204278291872
PullDown,GP1BA,25,-0.334593652721113,0.102083864669842,1,0.998157011554019
Weight,IGHV3-15,25,0.334423761703341,0.102268844805938,1,0.999276979001456
BMI,FMOD,25,-0.334362961526915,0.102335105448986,1,1
FFM,MAP1S,18,0.397521994121223,0.102341716623879,1,0.998761796865375
mri_SAT,CHL1,26,0.327863247863248,0.102351809622695,1,0.73952786389356
mri_SAT,AHSG,26,-0.327863247863248,0.102351809622695,1,0.73952786389356
mri_SAT,SERPINF2,26,0.327863247863248,0.102351809622695,1,0.73952786389356
BMI,AHCY,21,0.366365253557259,0.102370899265502,1,1
FFM,RAB3GAP1,25,0.334295062925551,0.10240913967907,1,0.998761796865375
mri_VL,B2M,25,-0.334615384615385,0.10243583092066,1,0.935148547830613
mri_TAT,ZNF185,25,-0.334615384615385,0.10243583092066,1,0.882204278291872
mri_TAT,VDAC1,25,-0.334615384615385,0.10243583092066,1,0.882204278291872
mri_VL,CETP,25,0.334615384615385,0.10243583092066,1,0.935148547830613
ChestPress,CETP,25,0.334210528884573,0.10250136814173,1,0.903550016639837
mri_VL,SNAP23,24,-0.341739130434783,0.102596893295723,1,0.935148547830613
BMI,EPHX2,20,-0.375283551340309,0.102998059813666,1,1
mri_TAT,XPO1,26,-0.32689349084363,0.103101786650032,1,0.882204278291872
VO2max.kg,PRKCA,26,-0.326775140946947,0.103233921167755,1,0.86939810923426
VO2max.kg,COX5A,26,0.326775140946947,0.103233921167755,1,0.86939810923426
FFM,TMT1A,25,-0.333525684184641,0.103250822114791,1,0.998761796865375
mri_TAT,ZMPSTE24,25,-0.333846153846154,0.103264749862736,1,0.882204278291872
M_mg.kg.min,PLCB2,23,0.348814229249012,0.103319798948262,1,0.988378186379285
Weight,APOM,26,0.32666328910696,0.103358916518675,1,0.999276979001456
LegPress,PSMB5,26,0.326644768638077,0.103379624152347,1,0.996392398835066
FFM,DHRS7,22,0.356396512376243,0.103515097842428,1,0.998761796865375
mri_VL,LDHB,24,-0.340869565217391,0.103517368191406,1,0.935148547830613
mri_VL,H2AC11;H2AC12;H2AC14;H2AC25;H2AC4;H2AC6;H2AC7;H2AJ,24,0.340869565217391,0.103517368191406,1,0.935148547830613
mrs_Hep,DBN1,19,0.385964912280702,0.103549679873839,1,1
