phenotype,Genes,n,rho,p,q_global,q_within
mri_IP,PSMD11,25,0.719753812121641,4.99773558828782e-05,1,0.0769151507037496
mri_SAT,PI4KA,22,0.726708074534162,0.000193083000744118,1,0.297154738145198
VO2max.kg,ACTR2,26,-0.666895025869737,0.000198698965905197,1,0.305797708528098
mrs_Musc,SELENOP,19,0.745275738523679,0.000250399645253037,1,0.189121776158129
mrs_Musc,GRB2,18,0.749527490627137,0.000342358151480201,1,0.189121776158129
mrs_Musc,TMEM43,17,0.762804138428078,0.000369138144745859,1,0.189121776158129
mri_TAT,PSMC2,25,0.663846153846154,0.000411987444874309,1,0.480009188788835
VO2max.kg,APPL1,22,-0.685698572774948,0.000427586480512295,1,0.329027796754211
LegPress,EEF1D,26,-0.632702682109889,0.000523449449620885,1,0.456171455287138
M_mg.kg.min,BRK1,22,0.684923771880294,0.000611061101579821,1,0.78180095364268
mri_TAT,APOC2,25,0.647692307692308,0.000623793617659305,1,0.480009188788835
VO2max.kg,EXOC7,18,-0.725864836018752,0.000649162734362869,1,0.333020482728152
mri_SAT,PCYOX1,23,0.661067193675889,0.000801458849780505,1,0.462435831083617
LegPress,UBA1,22,0.660430864132492,0.000822046142088924,1,0.456171455287138
mri_SAT,PSMC2,25,0.631538461538462,0.000922633027029554,1,0.462435831083617
PullDown,RARS1,14,0.775450741580644,0.00111862318432851,1,0.879883491888487
PullDown,HLA-C,19,0.687485865978638,0.00114344833253864,1,0.879883491888487
LegPress,TAOK3,23,-0.632579793773435,0.0011994168644216,1,0.456171455287138
ChestPress,DMTN,25,-0.607405001259006,0.00128124385058375,1,0.581113408523802
ChestPress,ATP1B3,23,0.627752002668551,0.00134198868049573,1,0.581113408523802
BMI,COPS3,25,0.604321523313352,0.00137705486801343,1,1
mrs_Musc,GANAB,19,0.678812384909796,0.00139562410901245,1,0.372078124583309
mrs_Musc,UBASH3A,16,0.727497989689478,0.00140308044918186,1,0.372078124583309
ChestPress,PLXNA4,24,-0.613356623529168,0.00143629685525063,1,0.581113408523802
mrs_Musc,RBP4,19,-0.677040028813426,0.00145248454619379,1,0.372078124583309
M_mg.kg.min,CYB5B,26,0.600683760683761,0.00145753568633797,1,0.78180095364268
mri_SAT,APOC2,25,0.610769230769231,0.00148034447368734,1,0.462435831083617
mri_SAT,CAMK1,26,-0.599316239316239,0.00150239061430675,1,0.462435831083617
ChestPress,EIF4G3,20,-0.660934510367276,0.00151036623397999,1,0.581113408523802
LegPress,NUDC,21,-0.645570159651517,0.00157383515964472,1,0.456171455287138
VO2max.kg,LTBP4,19,0.670764086438212,0.00166962384430208,1,0.642387774095224
mri_IP,NDUFS1,23,0.610328657129991,0.00198309031030912,1,0.999906809281029
LegPress,NDUFB4,17,0.693846196315895,0.00200481559196684,1,0.456171455287138
LegPress,RSU1,26,0.574030144886033,0.0021665129743312,1,0.456171455287138
M_mg.kg.min,GALK1,19,0.666666666666667,0.00238081904844729,1,0.78180095364268
LegPress,SH3PXD2A,20,-0.639438123414046,0.00239958959166736,1,0.456171455287138
mri_SAT,BET1,18,-0.682146542827657,0.00241504366530522,1,0.61945870015079
VO2max.kg,HSP90B1,26,0.568007051279509,0.00247014410190175,1,0.654821768529361
M_mg.kg.min,HIBCH,18,-0.680082559339525,0.00251438131976345,1,0.78180095364268
mri_VL,PPP1R3E,23,0.608695652173913,0.00251599309035111,1,0.935148547830613
VO2max.kg,ITM2B,17,-0.682209102494907,0.00255291137828211,1,0.654821768529361
LegPress,DOK2,24,0.586031788434452,0.00261904686715001,1,0.456171455287138
LegPress,ABLIM1,21,-0.62089324769944,0.00266766932916455,1,0.456171455287138
ChestPress,IGHV3-15,24,0.585038895751051,0.0026742239966894,1,0.650073587695476
ChestPress,TRIP10,24,-0.583870392089458,0.00274042075433091,1,0.650073587695476
M_mg.kg.min,ASMTL,17,-0.691176470588235,0.0028376839991202,1,0.78180095364268
LegPress,CCT6A,26,-0.558590003511334,0.00301761242385473,1,0.464410552031243
M_mg.kg.min,ABRAXAS2,25,0.576153846153846,0.00304795693427945,1,0.78180095364268
mri_VL,LPA,25,0.575384615384615,0.0030946649378742,1,0.935148547830613
mri_TAT,DYNC1LI1,22,-0.610389610389611,0.00310830217452615,1,0.882204278291872
mri_TAT,PI4KA,22,0.610389610389611,0.00310830217452616,1,0.882204278291872
mri_TAT,MPRIP,22,0.609260304912479,0.00317624389910722,1,0.882204278291872
LegPress,AK3,19,0.637225227354233,0.00334103512493266,1,0.467441187024669
ChestPress,HBS1L,17,-0.668195584109269,0.00336933976659404,1,0.650073587695476
ChestPress,ENO2,19,-0.636221240247583,0.00340696918029748,1,0.650073587695476
BMI,OXCT1,19,0.634726807698525,0.00350709745956482,1,1
mri_TAT,HSPB1,26,0.551205342301184,0.00351635886954278,1,0.882204278291872
mrs_Hep,VPS37A,17,-0.678921568627451,0.00356128940262481,1,1
mrs_Hep,NDUFA10,16,-0.694117647058824,0.00379551802746595,1,1
ChestPress,FNBP1L,24,-0.567800564784244,0.00380159992804372,1,0.650073587695476
mri_VL,COPS3,24,0.575652173913043,0.00380990198777372,1,0.935148547830613
mri_IP,ACAP2,21,-0.601494023279263,0.00392180558791807,1,0.999906809281029
VO2max.kg,PTPN12,26,-0.543712773785024,0.00409238540717268,1,0.803591058123983
M_mg.kg.min,APPL1,22,-0.5957086391869,0.00409353872780515,1,0.899993728870304
mri_TAT,C4BPB,26,-0.543340749948251,0.00412295704917181,1,0.882204278291872
VO2max.kg,YWHAE,26,0.542686255017652,0.00417721147822733,1,0.803591058123983
PullDown,CRLF3,21,0.597583593244522,0.00422631689334959,1,0.998157011554019
mrs_Hep,RTRAF,15,0.707142857142857,0.00431595713356175,1,1
LegPress,PLEKHF2,19,-0.62346551706112,0.00434242715865038,1,0.556916283096911
mri_SAT,LRPPRC,22,-0.592320722755505,0.00435458934095082,1,0.673873007092022
PullDown,PKN1,22,-0.583570902397125,0.00435671815898574,1,0.998157011554019
mri_SAT,GTPBP2,23,0.57905138339921,0.00443597337221304,1,0.673873007092022
mrs_Hep,ICAM2,18,0.649122807017544,0.00444467777263717,1,1
mri_SAT,MPRIP,22,0.590062111801242,0.00453624277132407,1,0.673873007092022
mri_IP,F2,26,-0.537185851585087,0.00465757530110906,1,0.999906809281029
mri_SAT,C4BPB,26,-0.541880341880342,0.00482706281916739,1,0.673873007092022
VO2max.kg,RABL6,16,0.665195176406944,0.004924145748951,1,0.842028923070622
Weight,TAGLN2,26,-0.534291159774945,0.00492861801143654,1,0.999276979001456
FFM,TKFC,22,-0.576673279138104,0.00496236202690867,1,0.998761796865375
mri_SAT,PCBP2,16,-0.676470588235294,0.00514704694512713,1,0.673873007092022
ChestPress,GYG1,15,-0.680866899048022,0.00520242151025425,1,0.673709714789969
ChestPress,SERPING1,25,-0.539303209154141,0.00540187212959257,1,0.673709714789969
mri_IP,SLA2,22,-0.571589969135908,0.00545226419262944,1,0.999906809281029
ChestPress,SCRN3,23,-0.559677851876853,0.00548724317936981,1,0.673709714789969
mri_VL,DPYSL2,25,-0.544615384615385,0.00553537117963132,1,0.935148547830613
FFM,COPS5,26,-0.528043806530359,0.00555930267900256,1,0.998761796865375
VO2max.kg,SND1,21,-0.582007175872807,0.00564138814144614,1,0.856097891571386
ChestPress,REPS2,20,-0.593738319593468,0.0057796346463625,1,0.673709714789969
mri_SAT,APOM,26,0.531623931623932,0.00583091388446196,1,0.673873007092022
PullDown,TBCB,22,-0.56684302921377,0.00594542904182087,1,0.998157011554019
mri_SAT,DYNC1LI1,22,-0.571993224167137,0.00623083674547095,1,0.673873007092022
mrs_Musc,ZMPSTE24,18,0.617994811213461,0.00626995848890361,1,0.995917543552641
mrs_Musc,ACAP2,16,-0.65034370512677,0.0063784033959857,1,0.995917543552641
PullDown,GAPDH,25,0.530395813772951,0.00638257455667234,1,0.998157011554019
mrs_Hep,SLK,18,0.626418988648091,0.00650921399906484,1,1
mri_VL,KRT10,19,0.610526315789474,0.00651729491819834,1,0.935148547830613
ChestPress,APPL2,25,-0.528674605762052,0.00658832349445948,1,0.673709714789969
M_mg.kg.min,APPL2,26,-0.524102564102564,0.00667501038970483,1,0.988378186379285
ChestPress,TUBB6,25,-0.527887301807082,0.00668427213196247,1,0.673709714789969
Weight,PSMC2,25,0.527612171801243,0.00671807702424022,1,0.999276979001456
LegPress,MAP2K2,19,-0.597010120297565,0.00696058609556484,1,0.824026307774945
mri_VL,AKR7A2,25,0.531538461538462,0.00698280492725258,1,0.935148547830613
mri_TAT,AP3D1,22,-0.565217391304348,0.006989150201036,1,0.882204278291872
mri_TAT,TGFB1I1,25,0.52510099067132,0.00703329617417077,1,0.882204278291872
VO2max.kg,LASP1,24,0.535248244490175,0.00703414176772759,1,0.856097891571386
mri_VL,APOOL,21,0.576623376623377,0.00714535841995524,1,0.935148547830613
PullDown,SLC4A2,19,-0.595370483767123,0.00715782685739976,1,0.998157011554019
ChestPress,AARS1,22,-0.554896720463313,0.00735255092549521,1,0.673709714789969
FFM,COX7A2,23,0.543118375858996,0.00740303885451364,1,0.998761796865375
ChestPress,SERPINA5,25,0.52198252214481,0.00744188768773845,1,0.673709714789969
mri_TAT,ATP2C1,24,0.538260869565217,0.00745863387834719,1,0.882204278291872
mri_TAT,COPG1,26,-0.511882380536521,0.00751409144562768,1,0.882204278291872
mri_SAT,SLC25A5,24,-0.537391304347826,0.00756986644471436,1,0.673873007092022
mri_VL,INHBC,20,0.586466165413534,0.00759661022955128,1,0.935148547830613
BMI,LCP1,26,0.510625184132217,0.00768769567788077,1,1
PullDown,SEC31A,20,0.576147614551603,0.00784338301589969,1,0.998157011554019
Weight,PSMD13,23,-0.539792453491776,0.0078479725061559,1,0.999276979001456
PullDown,EEF1B2,25,0.518600502866213,0.00790725073235598,1,0.998157011554019
BMI,PRKAR2A,24,-0.528567661402577,0.00792295203415139,1,1
ChestPress,SEPTIN6,25,-0.518046002369963,0.00798581896338965,1,0.682787521369815
PullDown,DAAM1,23,0.538586644942258,0.0080146592627721,1,0.998157011554019
PullDown,FBLN1,25,-0.517027794745315,0.00813178766319782,1,0.998157011554019
mri_TAT,BET1,18,-0.611971104231166,0.00818501108631165,1,0.882204278291872
mrs_Musc,PSMF1,12,-0.719604699487763,0.00832919486178089,1,0.995917543552641
VO2max.kg,ASMTL,17,-0.616799625436145,0.00835635660441993,1,0.856097891571386
mrs_Musc,FUBP3,13,0.694642422498315,0.00841436192734233,1,0.995917543552641
mrs_Musc,BCR,16,0.633386340099258,0.00843692868672099,1,0.995917543552641
mrs_Hep,DIAPH1,18,0.609907120743034,0.00845051617777142,1,1
VO2max.kg,IRAG2,18,-0.599896827492027,0.00849376654409651,1,0.856097891571386
LegPress,VAMP7,25,0.514289547647354,0.00853542021208958,1,0.904035666880255
mrs_Musc,PARD3,14,0.670485234401511,0.00868293272969685,1,0.995917543552641
LegPress,FARSB,17,0.613508153800392,0.00881126380974908,1,0.904035666880255
mri_SAT,FGL1,25,0.517692307692308,0.00885088340783157,1,0.673873007092022
mri_SAT,C4BPA,26,-0.507008547008547,0.00898492666405669,1,0.673873007092022
PullDown,AK2,20,0.567647143671386,0.00903722692486705,1,0.998157011554019
mri_SAT,RAB11A;RAB11B,26,-0.506324786324786,0.00908980281149076,1,0.673873007092022
M_mg.kg.min,SUSD1,19,-0.589473684210526,0.0091054687738591,1,0.988378186379285
Weight,PLCG2,20,0.56713054029469,0.00911429972918934,1,0.999276979001456
FFM,CLASP1,20,-0.56713054029469,0.00911429972918934,1,0.998761796865375
mrs_Musc,ITPRID2,15,0.646807061649763,0.00916019699647569,1,0.995917543552641
mrs_Musc,VPS45,17,-0.610852645484167,0.00919250281929645,1,0.995917543552641
mrs_Hep,PSMA1,19,-0.587719298245614,0.0093542694147193,1,1
mri_TAT,PFKL,25,-0.513846153846154,0.00943862906437233,1,0.882204278291872
VO2max.kg,RAB6A,19,-0.578577922726154,0.00945229431539338,1,0.856097891571386
mrs_Hep,DENND2C,15,-0.657142857142857,0.00952743058213889,1,1
VO2max.kg,HIBCH,18,-0.592669154871641,0.00954244177414344,1,0.856097891571386
mri_IP,FAM114A2,25,0.507789969000837,0.00956074949373272,1,0.999906809281029
mrs_Hep,APOH,19,0.585964912280702,0.0096085780379134,1,1
VO2max.kg,AGPS,19,-0.576450802368487,0.00978112569333263,1,0.856097891571386
VO2max.kg,ITPRID2,19,-0.575944032334381,0.00986081491448361,1,0.856097891571386
mrs_Hep,LDLR,18,-0.599587203302374,0.00988456683371251,1,1
mri_SAT,ATL1,22,-0.543760587238848,0.00991493698595966,1,0.673873007092022
Weight,COPS3,25,0.505676435993314,0.00991543884951366,1,0.999276979001456
Weight,LMAN1,19,-0.575318900744123,0.00995983822939916,1,0.999276979001456
mri_SAT,HPRT1,26,-0.50017094017094,0.0100809571244635,1,0.673873007092022
M_mg.kg.min,YWHAE,26,0.50017094017094,0.0100809571244635,1,0.988378186379285
mri_SAT,ATP2C1,24,0.52,0.0101047752720068,1,0.673873007092022
ChestPress,FASN,25,-0.504268183157996,0.0101577816344272,1,0.734754694587454
PullDown,UFC1,17,-0.604264872030476,0.0101952677326105,1,0.998157011554019
ChestPress,DAG1,18,0.587801697780223,0.0103054714700997,1,0.734754694587454
ChestPress,SHBG,24,0.513083143416216,0.0103469110772384,1,0.734754694587454
mri_SAT,BCR,20,0.565413533834587,0.0105630666813396,1,0.673873007092022
mri_VL,RAB8A,21,0.551948051948052,0.0105926808600007,1,0.935148547830613
FFM,SQSTM1,20,-0.557352427530988,0.01067703761607,1,0.998761796865375
mri_VL,ACSL5,19,-0.578947368421053,0.0106827442455514,1,0.935148547830613
PullDown,PLXNB2,24,-0.510600444185387,0.0107872912388436,1,0.998157011554019
M_mg.kg.min,PPBP,26,0.496068376068376,0.0107909563963177,1,0.988378186379285
mri_SAT,DCTN4,18,-0.593395252837977,0.0108352249391975,1,0.673873007092022
mri_SAT,PCMT1,26,-0.495384615384615,0.0109132743239078,1,0.673873007092022
VO2max.kg,SLC4A2,20,-0.555723521787266,0.0109573089138923,1,0.856097891571386
FFM,TAGLN2,26,-0.490424105287912,0.0109721061435725,1,0.998761796865375
ChestPress,DBNL,24,-0.508877864665124,0.0111018459635318,1,0.734754694587454
mrs_Hep,TPST2,15,-0.646428571428571,0.0111028877669525,1,1
mri_TAT,PSMD11,25,0.503846153846154,0.0111218465244577,1,0.882204278291872
mri_SAT,NCKAP1,25,-0.503846153846154,0.0111218465244577,1,0.673873007092022
mrs_Hep,CTSS,18,-0.591331269349845,0.0111680070853361,1,1
ChestPress,SH3GLB1,24,-0.508431480573313,0.0111845818416619,1,0.734754694587454
mri_TAT,ATL1,22,-0.535855448898927,0.011220944352178,1,0.882204278291872
LegPress,MINK1,24,-0.507865104284104,0.0112902894196928,1,0.996392398835066
Weight,PPP1R3E,24,0.507612053239865,0.0113377840723832,1,0.999276979001456
VO2max.kg,CARMIL1,17,-0.597053399218529,0.0113907782618266,1,0.856097891571386
mri_SAT,APCS,26,0.492649572649573,0.0114142443278851,1,0.673873007092022
ChestPress,GNA13,24,-0.506974570010198,0.0114581628785568,1,0.734754694587454
M_mg.kg.min,ZC3HAV1,25,0.501538461538462,0.0115439875241628,1,0.988378186379285
mrs_Hep,FKBP15,17,0.605392156862745,0.0115926954220339,1,1
mrs_Musc,EEF1B2,19,0.565381594742101,0.0116448098427092,1,0.995917543552641
mri_TAT,TNS1,25,-0.5,0.0118327858055761,1,0.882204278291872
VO2max.kg,RAB14,25,-0.495091663382083,0.0118602464462734,1,0.856097891571386
Weight,SUSD5,26,0.485719236159041,0.011884735730941,1,0.999276979001456
mri_VL,NCKAP1,24,-0.508695652173913,0.012105276487943,1,0.935148547830613
PullDown,ANKRD28,18,0.576962591931714,0.012180800046633,1,0.998157011554019
M_mg.kg.min,SERPINA5,26,0.488547008547008,0.0122017534654709,1,0.988378186379285
mri_TAT,SPP2,26,-0.483843399104327,0.0122657337213485,1,0.882204278291872
mri_VL,PLEKHO2,24,-0.507826086956522,0.01227190930358,1,0.935148547830613
mrs_Musc,EML4,16,0.608674085576314,0.0123424551048446,1,0.995917543552641
mri_SAT,WBP2,21,0.541558441558442,0.0124050740951758,1,0.673873007092022
VO2max.kg,NDUFS3,20,-0.547574314767287,0.012450440089391,1,0.856097891571386
mri_VL,SUSD5,25,0.496153846153846,0.0125812782922185,1,0.935148547830613
mri_VL,LAMA2,25,0.496153846153846,0.0125812782922185,1,0.935148547830613
mri_VL,BAG6,23,0.516798418972332,0.0126126574173961,1,0.935148547830613
mri_TAT,RAN,20,0.553383458646617,0.012645100069944,1,0.882204278291872
mri_SAT,AP3D1,22,-0.527950310559006,0.0126659645500443,1,0.673873007092022
mri_SAT,IGKV1-8,22,0.527950310559006,0.0126659645500443,1,0.673873007092022
ChestPress,PRKAR2B,25,-0.490096711968544,0.0128818920081191,1,0.793009272019811
M_mg.kg.min,RAP1GDS1,25,0.494615384615385,0.0128915292313397,1,0.988378186379285
M_mg.kg.min,TPI1,25,0.494615384615385,0.0128915292313397,1,0.988378186379285
mri_SAT,HSPB1,26,0.485128205128205,0.0128922821811185,1,0.673873007092022
Weight,COPS5,26,-0.479904287557137,0.0130987936207821,1,0.999276979001456
mri_TAT,PCYOX1,23,0.509019041978859,0.0131166288300603,1,0.882204278291872
BMI,NDUFA10,19,-0.556730170115563,0.0132919257110517,1,1
mri_SAT,MAP1S,18,0.578947368421053,0.0133420285024876,1,0.673873007092022
M_mg.kg.min,USP4,25,0.492307692307692,0.0133688432072867,1,0.988378186379285
mrs_Musc,SEC11A,14,-0.641430874244113,0.0134183427167016,1,0.995917543552641
mrs_Musc,MYLK,19,0.555633636212065,0.0135133861237239,1,0.995917543552641
M_mg.kg.min,BCAP31,26,0.481709401709402,0.0136151780274906,1,0.988378186379285
mri_IP,SUSD5,26,0.476320745549348,0.0138967816378789,1,0.999906809281029
LegPress,LAMP1,21,-0.527115574177723,0.0140744346692143,1,0.996392398835066
ChestPress,RNASE4,24,0.494111698155171,0.0141214701115812,1,0.822176314636609
mri_TAT,P3H1,24,-0.498260869565217,0.0142341835300862,1,0.882204278291872
mri_SAT,PSMD1,22,0.520045172219085,0.0142610392592891,1,0.673873007092022
LegPress,NT5C2,19,0.551888482110435,0.0142921665367519,1,0.996392398835066
Weight,ACTBL2,26,-0.474431394755345,0.0143334017321189,1,0.999276979001456
mri_VL,FYN,20,0.544360902255639,0.0144168945507131,1,0.935148547830613
mri_TAT,BCR,20,0.544360902255639,0.0144168945507131,1,0.882204278291872
mri_VL,PSMC2,24,0.497391304347826,0.0144247739695802,1,0.935148547830613
VO2max.kg,BRK1,22,0.513849960966552,0.0144344628002493,1,0.856097891571386
mrs_Musc,DLD,19,-0.55120274597114,0.0144385731122704,1,0.995917543552641
mrs_Musc,NUCB2,19,0.55120274597114,0.0144385731122704,1,0.995917543552641
BMI,APOH,26,0.473956127285139,0.0144449968195467,1,1
mrs_Hep,LTBP4,14,-0.648351648351648,0.0145264436158747,1,1
mri_SAT,PGK1,25,0.486923076923077,0.0145400466930802,1,0.673873007092022
VO2max.kg,PLCB2,23,0.502473045007963,0.0145459211114393,1,0.856097891571386
mri_VL,GNAQ,24,-0.496521739130435,0.014617473757706,1,0.935148547830613
mri_SAT,APLP2,24,0.496521739130435,0.014617473757706,1,0.673873007092022
LegPress,IGFBP5,21,0.523577927924217,0.014854583414546,1,0.996392398835066
mri_SAT,CD248,25,0.485384615384615,0.014889915115893,1,0.673873007092022
ChestPress,COX7A2,22,0.511368027993643,0.0149971527789617,1,0.822176314636609
BMI,LMAN1,19,-0.548176818588244,0.0150990091686802,1,1
Weight,INPP4B,25,-0.480277162952554,0.0151022903254368,1,0.999276979001456
Weight,BMP1,24,0.489449745295205,0.015203891238092,1,0.999276979001456
Weight,FBLN1,26,0.470668780954112,0.0152366590781803,1,0.999276979001456
mri_SAT,EMD,26,-0.474188034188034,0.0153252470748673,1,0.673873007092022
mri_TAT,TTR,26,0.470165847186183,0.0153608679831545,1,0.882204278291872
mrs_Hep,COPS8,18,-0.568627450980392,0.0154029298966383,1,1
Weight,HSPG2,26,0.469984669353889,0.0154058169426044,1,0.999276979001456
PullDown,MAPKAPK3,23,-0.498522289998342,0.0154683590020523,1,0.998157011554019
mrs_Musc,CALR,19,0.545885677682029,0.0156149471842211,1,0.995917543552641
VO2max.kg,MEP1B,18,0.559917654146427,0.0156713259392897,1,0.856097891571386
mrs_Musc,RUFY1,15,0.610281050705658,0.0156868855348062,1,0.995917543552641
Weight,ACAN,25,0.477198463190038,0.015859858351655,1,0.999276979001456
mrs_Hep,KGD4,12,0.692307692307692,0.0158776933220116,1,1
VO2max.kg,ITGA6,26,-0.467408212076994,0.0160568216951161,1,0.856097891571386
M_mg.kg.min,IGKV2D-29,26,-0.470769230769231,0.0161596535090848,1,0.988378186379285
ChestPress,SLAIN2,25,-0.475925240779092,0.0161821295189892,1,0.822176314636609
BMI,HPSE,26,-0.466759396502067,0.0162242764930373,1,1
VO2max.kg,RAB3C,22,-0.506071751329815,0.0162575168325422,1,0.856097891571386
LegPress,NAP1L4,26,-0.466292269515911,0.0163457251672396,1,0.996392398835066
mri_VL,STRIP2,20,0.535338345864662,0.0163857024459728,1,0.935148547830613
mrs_Musc,COPG2,16,-0.588884206427948,0.0163913665876894,1,0.995917543552641
VO2max.kg,HPR,26,0.466039520387164,0.0164117483753239,1,0.856097891571386
Weight,WDR1,26,-0.465879999752545,0.0164535310621042,1,0.999276979001456
mri_SAT,ACTB;ACTG1,26,-0.468717948717949,0.0166781775036148,1,0.679441371121072
VO2max.kg,ESYT2,26,-0.465013001619791,0.0166821517760983,1,0.856097891571386
VO2max.kg,STXBP2,26,-0.465013001619791,0.0166821517760983,1,0.856097891571386
mri_TAT,MAP1S,18,0.562435500515996,0.0167571870016306,1,0.882204278291872
mrs_Hep,ACTR1A,18,0.562435500515996,0.0167571870016306,1,1
ChestPress,TMED8,25,-0.473563328914183,0.0167941694941883,1,0.822176314636609
FFM,MVP,22,0.50381250243995,0.0168206156779049,1,0.998761796865375
PullDown,ESAM,25,0.473385144390387,0.0168411002706774,1,0.998157011554019
Weight,SQSTM1,20,-0.527464408159612,0.0168462816713072,1,0.999276979001456
ChestPress,EPS15,24,-0.482541203248245,0.0169319236411638,1,0.822176314636609
VO2max.kg,NHLRC2,25,-0.472377504642158,0.0171085191423873,1,0.856097891571386
PullDown,MICAL1,23,0.491929421463268,0.0171134219169048,1,0.998157011554019
PullDown,COPA,24,0.481664935142623,0.0171621070341613,1,0.998157011554019
mrs_Musc,NPEPPS,17,0.568639251284042,0.0172239068854498,1,0.995917543552641
mri_IP,GYG1,16,-0.594117647058824,0.0172465454334546,1,0.999906809281029
mrs_Hep,CTSH,12,-0.685314685314685,0.0173050234870596,1,1
mri_SAT,SSC5D,25,0.475384615384615,0.0173385593063617,1,0.679441371121072
VO2max.kg,PSMC4,25,0.471222547418094,0.0174192962886155,1,0.856097891571386
LegPress,IGLV3-25,26,0.461488669977116,0.0176385080261535,1,0.996392398835066
ChestPress,COPS7B,24,-0.479650271343048,0.017701013166512,1,0.822176314636609
mri_TAT,RAB37,23,-0.494071146245059,0.0177166570527933,1,0.882204278291872
Weight,APOC2,25,0.469886551254062,0.0177845281847893,1,0.999276979001456
mri_TAT,HRG,26,0.460933499641436,0.0177931750539066,1,0.882204278291872
VO2max.kg,PRG4,26,0.460906926550301,0.0178006059326084,1,0.856097891571386
mrs_Hep,ITGB5,15,0.610714285714286,0.0178687945744823,1,1
mri_TAT,AHSG,26,-0.460249622045529,0.0179852250321174,1,0.882204278291872
Weight,CCT7,23,-0.488010022967537,0.0181568886261701,1,0.999276979001456
mri_TAT,CCDC126,24,0.477929996077454,0.0181720052983234,1,0.882204278291872
mri_VL,ATL1,21,-0.514285714285714,0.0184021060831344,1,0.935148547830613
mri_IP,MAPKAPK3,24,0.477060241762481,0.0184139856601798,1,0.999906809281029
ChestPress,NDUFS1,22,0.497544155814072,0.0184660032333037,1,0.822176314636609
VO2max.kg,CAPZA1,26,-0.458511716093098,0.0184809236948101,1,0.861883077767051
Weight,COPG1,26,-0.458354772150081,0.0185262334565893,1,0.999276979001456
mrs_Musc,DENND2C,15,0.597679377092267,0.0186194063862751,1,0.995917543552641
mri_TAT,EXOC1,18,0.554179566563468,0.0187095289058169,1,0.882204278291872
mri_IP,ALDH3A2,20,-0.519744301516752,0.0188323430737666,1,0.999906809281029
PullDown,TAGLN2,25,0.46591478081612,0.0189074272682814,1,0.998157011554019
mri_IP,CCT7,23,-0.485297766236155,0.0189087154602013,1,0.999906809281029
mrs_Musc,DENND3,16,0.577421870913471,0.019169193759993,1,0.995917543552641
mri_VL,FLOT1,24,-0.478260869565217,0.0191836882068422,1,0.935148547830613
mri_IP,COX6A1,20,0.518239976476182,0.0192402438732347,1,0.999906809281029
BMI,COPS5,26,-0.45579294959453,0.0192787772484145,1,1
mri_TAT,ZZEF1,23,0.488142292490119,0.0192958024381649,1,0.882204278291872
PullDown,GSPT2,18,-0.545019020630615,0.0193326336815644,1,0.998157011554019
mri_IP,KIF13B,24,0.473581224502591,0.0194082504829355,1,0.999906809281029
mri_VL,L1CAM,22,0.498588368153586,0.0194400873255843,1,0.935148547830613
M_mg.kg.min,RAB14,25,-0.467692307692308,0.0194410116922054,1,0.988378186379285
BMI,STRIP2,21,0.505045241315267,0.0195324160250896,1,1
mrs_Hep,COX6C,15,0.603571428571429,0.0195408305185619,1,1
mri_SAT,COPG1,26,-0.457777777777778,0.0196825298940935,1,0.679441371121072
mri_TAT,APOM,26,0.454094723682365,0.0197912691235172,1,0.882204278291872
VO2max.kg,C1RL,26,0.45406346810115,0.0198008046785799,1,0.86939810923426
ChestPress,WDR44,25,-0.46254107354461,0.0199060409026706,1,0.822176314636609
mrs_Musc,CALM1;CALM2;CALM3,14,0.611836681103809,0.0200544116092373,1,0.995917543552641
ChestPress,PLCB3,18,-0.54200363058821,0.0201495057874608,1,0.822176314636609
mri_TAT,GPX3,26,0.452385029692597,0.0203184056507779,1,0.882204278291872
ChestPress,MFN2,17,0.556188794594244,0.0204209096094877,1,0.822176314636609
M_mg.kg.min,IMMT,25,0.463846153846154,0.0205685310902258,1,0.988378186379285
mri_VL,SNX6,23,0.483201581027668,0.0206982120803646,1,0.935148547830613
mri_SAT,GALK1,19,-0.531578947368421,0.0207625363621824,1,0.679441371121072
mri_SAT,SNAP23,25,-0.463076923076923,0.0208003697923889,1,0.679441371121072
mri_VL,PI4KA,21,0.505194805194805,0.0208589628362351,1,0.935148547830613
BMI,FKBP15,24,0.468641826175779,0.0208943090066152,1,1
mrs_Hep,SLMAP,17,0.561274509803922,0.0209873418974373,1,1
ChestPress,G6PD,25,-0.458998205747247,0.0210005100187525,1,0.822176314636609
mri_SAT,GPX3,26,0.452991452991453,0.021130780312178,1,0.679441371121072
FFM,IGLV3-21,20,0.51147051379362,0.0211638433056039,1,0.998761796865375
LegPress,PRSS3,16,0.569755513833965,0.0212214816593436,1,0.996392398835066
mri_SAT,ABCF1,19,0.529824561403509,0.0212465200565316,1,0.679441371121072
ChestPress,PRKAR1A,25,-0.458210901792277,0.0212502431907791,1,0.822176314636609
mri_IP,P3H1,24,-0.467492944297782,0.0212528360229018,1,0.999906809281029
mri_VL,CHST3,25,0.461538461538462,0.0212704996701648,1,0.935148547830613
mri_VL,TMED4,23,-0.481225296442688,0.0212820123758066,1,0.935148547830613
mri_SAT,ACSL3,23,-0.481225296442688,0.0212820123758066,1,0.679441371121072
mri_TAT,MAVS,26,-0.449307580511014,0.0212960972630068,1,0.882204278291872
BMI,LSM2,18,-0.537468346215575,0.0214289607173697,1,1
ChestPress,FGL1,24,-0.466917760034842,0.0214341925143281,1,0.822176314636609
