tissue,p,n_resp,n_oth,med_resp,med_oth
Skeletal muscle,0.00088344991733829,118,1289,2.23778069573061,3.15395439176581
Adipose tissue,0.0527858718577523,118,1289,3.92953184733303,4.41414473421756
