ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,cluster
GO:0006952,defense response,59/231,266/1487,0.221804511278196,1.42780652931029,3.30104139126647,0.000957391626590148,0.0235007731273662,0.0213783870583148,MASP2/ATRN/F8/C1R/HP/CFB/SERPINA1/SERPINA3/AGT/C3/LDLR/IGHG2/IGHG3/IGHG4/IGHM/APOA1/APOE/CRP/C1QB/IGF1/APOD/C2/S100A9/APOA4/CSF1R/C8A/C8B/C8G/CTSG/CD14/SERPINF2/CSF1/C7/CHGA/KIT/CLU/LAMP1/C6/PRG2/CD44/VCAM1/ORM2/TNC/PTX3/DPP4/FCER1G/CDH5/SAA4/CTSC/HSPG2/CFHR1/LRP1/ADAMTS13/BPIFB1/PGLYRP2/COLEC11/C1QTNF3/TOLLIP/COLEC10,59,C1
GO:0006869,lipid transport,23/231,78/1487,0.294871794871795,1.8981573981574,3.49353284980138,0.000986710789034586,0.0236340219119647,0.0214996019680013,APOM/AGT/LDLR/APOA1/APOE/APOA2/APOC1/APOC3/RBP4/LCAT/APOD/SERPINA5/APOA4/ITGAV/LPA/SPP1/CLU/CETP/PLTP/LRP1/APOBR/APOA5/PCSK9,23,C1
GO:0002443,leukocyte mediated immunity,28/231,102/1487,0.274509803921569,1.767082590612,3.44142176016492,0.000988495213047953,0.0236340219119647,0.0214996019680013,IGHV2-26/IGHV3-74/IGHV1-18/IGHV1-24/MASP2/C1R/C3/IGHG2/IGHG3/IGHG4/IGHM/C1QB/C2/C8A/C8B/C8G/CTSG/DBH/C7/CHGA/KIT/CLU/LAMP1/C6/IGLL1/FCER1G/CTSC/SVEP1,28,C1
GO:0008202,steroid metabolic process,16/231,47/1487,0.340425531914894,2.19139725522704,3.55831878297293,0.00112423181500275,0.0265347534797444,0.0241383646109228,LDLR/APOA1/APOE/APOA2/APOC1/CAT/LCAT/APOA4/SPP1/KIT/FGFR1/CETP/APOBR/APOA5/PCSK9/DKK3,16,C1
GO:0015914,phospholipid transport,10/231,23/1487,0.434782608695652,2.79879540749106,3.72731180420082,0.00119611193330767,0.0275255258652428,0.0250396590249014,LDLR/APOA1/APOE/APOA2/APOC1/APOC3/APOA4/CETP/PLTP/APOA5,10,C1
GO:0046890,regulation of lipid biosynthetic process,10/231,23/1487,0.434782608695652,2.79879540749106,3.72731180420082,0.00119611193330767,0.0275255258652428,0.0250396590249014,C3/LDLR/APOE/APOC1/APOC3/APOA4/GPLD1/APOA5/ADGRF5/DKK3,10,C1
GO:0045833,negative regulation of lipid metabolic process,8/231,16/1487,0.5,3.21861471861472,3.82521737487196,0.00125234379283506,0.0282423778675138,0.0256917711696815,APOE/APOA2/APOC1/APOC3/APOD/GPLD1/SORL1/DKK3,8,C1
GO:0002449,lymphocyte mediated immunity,24/231,84/1487,0.285714285714286,1.83920841063698,3.39469851363313,0.00125794404407177,0.0282423778675138,0.0256917711696815,IGHV2-26/IGHV3-74/IGHV1-18/IGHV1-24/MASP2/C1R/C3/IGHG2/IGHG3/IGHG4/IGHM/C1QB/C2/C8A/C8B/C8G/C7/CLU/LAMP1/C6/IGLL1/FCER1G/CTSC/SVEP1,24,C1
GO:0048584,positive regulation of response to stimulus,68/231,320/1487,0.2125,1.36791125541126,3.18495433840264,0.00127698321898156,0.0283244109174103,0.0257663957057662,MASP2/NRP1/PLXNB1/ATP6AP2/C1R/F10/CFB/AGT/C3/LDLR/IGHG2/IGHG3/IGHG4/IGHM/APOA1/APOE/C1QB/CAT/IGF1/C2/S100A9/ITGAV/PROS1/CSF1R/C8A/C8B/C8G/DCN/LAMB1/CTSG/CD14/SERPINF2/CD63/CSF1/C7/CHGA/KIT/CLU/LAMC1/LAMP1/FGFR1/C6/NID1/CD44/TNXB/LAMA2/IGFBP5/PDIA3/FCER1G/CDH5/FBN1/FLT4/CTSC/CDH13/RELN/GPLD1/AKAP12/CFHR1/GAS6/SVEP1/CSPG4/BPIFB1/SORL1/NEO1/TXNDC15/COLEC11/GLIPR2/COLEC10,68,C1
GO:0016125,sterol metabolic process,12/231,31/1487,0.387096774193548,2.49183074989527,3.59865562849777,0.00134093326089084,0.0293887873011909,0.0267346468430743,LDLR/APOA1/APOE/APOA2/APOC1/CAT/LCAT/APOA4/CETP/APOBR/APOA5/PCSK9,12,C1
GO:0060840,artery development,7/231,13/1487,0.538461538461538,3.46620046620047,3.82888114101933,0.00148472976083438,0.031418247008001,0.0285808233452813,NRP1/EFEMP2/LDLR/APOE/COMP/LRP1/ADGRF5,7,C1
GO:0090596,sensory organ morphogenesis,7/231,13/1487,0.538461538461538,3.46620046620047,3.82888114101933,0.00148472976083438,0.031418247008001,0.0285808233452813,RBP4/FGFR1/FBN1/EFEMP1/FAT1/MAN2A1/CDH23,7,C1
GO:1905953,negative regulation of lipid localization,7/231,13/1487,0.538461538461538,3.46620046620047,3.82888114101933,0.00148472976083438,0.031418247008001,0.0285808233452813,APOE/APOA2/APOC1/APOC3/CRP/ITGAV/PCSK9,7,C1
GO:0006066,alcohol metabolic process,18/231,57/1487,0.315789473684211,2.03280929596719,3.40886751101518,0.00150560041327582,0.0314978450095544,0.0286532327454765,LDLR/APOA1/APOE/APOA2/APOC1/RBP4/CAT/LCAT/IGF1/APOA4/DBH/FGFR1/CETP/TPI1/APOBR/APOA5/PCSK9/DKK3,18,C1
GO:0048870,cell motility,58/231,265/1487,0.218867924528302,1.4089030466389,3.14795311446256,0.00153957451649291,0.0318467043243085,0.0289705861116526,CHL1/NRP1/PLXNB1/NRP2/F10/AGT/APOA1/APOE/IGF1/APOD/S100A9/ITGAV/CSF1R/DCN/LAMB1/CTSG/CD63/DBH/CSF1/CHGA/KIT/LAMC1/FGFR1/RNH1/SELL/CD44/VCAM1/TNXB/PTPRG/LAMA2/IGFBP5/TNC/DPP4/FCER1G/CDH5/FLT4/MCAM/PLTP/CDH6/CDH13/CDH15/RELN/GPLD1/AKAP12/LRP1/MADCAM1/GAS6/FAT1/POSTN/MIA3/CSPG4/CEMIP/SORL1/NEO1/CDH19/CDH23/GLIPR2/CD248,58,C1
GO:0051216,cartilage development,9/231,20/1487,0.45,2.89675324675325,3.66126658517583,0.00158201015204794,0.0323608965546695,0.0294383409579915,MGP/FGFR1/CD44/OGN/THBS3/COMP/GPLD1/EFEMP1/TGFBI,9,C1
GO:0006954,inflammatory response,33/231,131/1487,0.251908396946565,1.62159214830971,3.19397783536307,0.00179649906027324,0.0363445579116817,0.0330622325609569,ATRN/F8/HP/SERPINA1/SERPINA3/AGT/C3/LDLR/APOA1/APOE/CRP/IGF1/APOD/S100A9/CSF1R/CD14/SERPINF2/CSF1/KIT/CLU/CD44/VCAM1/ORM2/TNC/PTX3/CDH5/SAA4/CTSC/HSPG2/LRP1/PGLYRP2/C1QTNF3/TOLLIP,33,C1
GO:0046470,phosphatidylcholine metabolic process,8/231,17/1487,0.470588235294118,3.02928444104915,3.60769067469397,0.00205238654489689,0.0401962088207997,0.0365660357551059,LDLR/APOA1/APOA2/APOC1/LCAT/APOA4/CETP/GPLD1,8,C1
