Genes,est_ep,q_ep,est_se,q_se
FRMD4B,-0.0825184583077154,0.505670781741117,-0.0554153846153831,0.923779226307047
FYB1,-0.169765492542657,0.0950203568378225,-0.210834615384615,0.0107930469986496
GAPDH,-0.195129839138954,0.193131977187751,-0.052311538461538,0.707819985599655
GAS6,0.318462740565323,0.184551168417875,-0.0378076923076922,0.663351389510775
GC,-0.0643661162903892,0.756284702850541,-0.00457307692307718,0.980741917131595
GCLM,0.011751976483999,0.919285711063804,0.307446153846154,0.306295727615422
GET3,0.139116015923787,0.295250661341945,0.049753846153846,0.804992684363228
GGH,0.308745099265335,0.238793084810801,-0.0312423076923077,0.83567502404199
GIT1,-0.0611875980428436,0.714732813389519,0.0742576923076924,0.829727331708449
GNAS,0.182112502409373,0.446091822530898,0.0349961538461541,0.864957774050093
GOLM2,0.641711068547642,0.0055883506230472,0.032261538461538,0.8072183223482
GP1BA,0.0502646935764845,0.777820413806147,-0.0741500000000002,0.0740135607327669
GP1BB,-0.39249408592621,0.0696853566038631,-0.375903846153844,0.00122746445836866
GP5,-0.280886377542549,0.0874141654970941,-0.212892307692308,1.27158704287155e-05
GP6,-0.264665199199909,0.0173614642884635,-0.143053846153846,0.0247692026018696
GRAP2,-0.251841011578899,0.0148028950331893,-0.180576923076923,0.196724052097682
GSN,-0.178966562430966,0.225196675763803,-0.0143884615384616,0.864709427600875
GSR,0.015707463380469,0.919285711063804,-0.0477576923076926,0.655830321130839
GSTP1,-0.0195761879432265,0.951851190759549,-0.0129038461538463,0.9877287018047
GTPBP2,-0.0500071948833219,0.732303756549518,-0.141692307692307,0.582160916683428
GYS1,-0.237373417882512,0.164117665441389,-0.0620884615384614,0.804992684363228
HADH,-0.300985691401639,0.0571761256418309,7.30769230766161e-05,0.999616497242442
HCLS1,0.0097167816761927,0.952964814333771,0.19618076923077,0.224939114602158
HEG1,0.330772714959942,0.0609089141988823,0.026069230769231,0.692221404027188
HGFAC,0.369557363524909,0.305292260825664,-0.0866346153846153,0.178050135223744
HLA-A,-0.0450512940156488,0.825716407217174,0.00184615384615366,0.992758142117013
HMGCL,-0.134526891263098,0.238793084810801,-0.143638461538462,0.559202746592326
HNRNPK,0.033801614808138,0.76225981992015,0.301315384615385,0.0623636703364589
HPSE,0.154850236994567,0.332247133474693,-0.102073076923082,0.368650193940608
HRG,0.0848316684288381,0.716490349085982,-0.00218846153846122,0.991818929095392
HS1BP3,0.0599372816125104,0.763779599148366,-0.204180769230769,0.131530168790155
