Protein.Group,Genes,Estimate,SE,p,n_ID,q
Q14974,KPNB1,-0.212297985646854,0.0623531784894028,0.000662207577274475,26,0.0173614642884635
Q9HCN6,GP6,-0.264665199199909,0.0777411452162625,0.000662994429138735,26,0.0173614642884635
P16070,CD44,0.723256531895242,0.213309327512165,0.000697279677209655,26,0.0179549516881486
Q0VD83,APOBR,0.36982911796159,0.109616683426228,0.000741275218923133,26,0.018774921528463
P61160,ACTR2,-0.222313934925965,0.0663372340193287,0.000804420371673225,26,0.0200456366812118
P51693,APLP1,0.801805066100535,0.23987378858753,0.000829937784206144,25,0.0201679506366785
Q14517,FAT1,0.43691779473881,0.130783197554241,0.00083543614287859,26,0.0201679506366785
Q99983,OMD,0.447339341530492,0.134305893627293,0.000866123822848521,26,0.0205696341301766
Q86SQ4,ADGRG6,0.488094346695579,0.146718788058358,0.000878702817211429,25,0.0205696341301766
Q8NI99,ANGPTL6,0.370634203078389,0.111577554398083,0.0008945060512428,26,0.0206270425249273
O75558,STX11,-0.205636390367063,0.0621464692229537,0.000936636163435132,26,0.0212809245956953
P05019,IGF1,0.538654089313378,0.163264818562954,0.000969379563950891,26,0.0217056728449874
P11047,LAMC1,0.386527042640103,0.117517687448192,0.00100509471056106,26,0.022183876111669
P08567,PLEK,-0.427190586682462,0.130366449896909,0.00104974158427603,26,0.0226161760465772
P10645,CHGA,0.479752821279129,0.146457545789012,0.00105395771867544,26,0.0226161760465772
P49746,THBS3,0.442226137909145,0.135491641427902,0.00109904344794553,26,0.0232605770832307
P00451,F8,0.272010370056768,0.083534567982122,0.00112889859034579,26,0.0234996745573549
Q5VWC8,HACD4,-0.398269239301008,0.122420367962524,0.00114076090084247,26,0.0234996745573549
P07585,DCN,0.42670605558019,0.131816061939095,0.00120737346468634,25,0.0245446316176368
P07437,TUBB,-0.376495502374362,0.117569211628128,0.00136320377087646,26,0.0273525951429109
P01019,AGT,0.278290311228057,0.0874850976714731,0.00146766381485246,26,0.0288318291732275
P51575,P2RX1,-0.422054917290142,0.132733972062342,0.00147424887034626,26,0.0288318291732275
O00391,QSOX1,0.444356019494006,0.140019034143318,0.00150592098357308,26,0.0290830989952551
P08493,MGP,1.1762386671944,0.371525717330373,0.00154567603641113,26,0.0291387055134898
P98160,HSPG2,0.280658193605543,0.0886903611712188,0.00155364435809034,26,0.0291387055134898
P35030,PRSS3,0.621351455048898,0.196488328713141,0.00156538029619395,25,0.0291387055134898
Q05707,COL14A1,0.607176603364287,0.19351846425885,0.0017035796804068,24,0.0313336976931965
P24534,EEF1B2,-0.299016261818982,0.0954392244847046,0.00172997501521052,26,0.0314448399823558
P15531,NME1,0.342777744983864,0.110014713717171,0.00183481139053462,26,0.0329625999811162
Q8IZF2,ADGRF5,0.371360103469629,0.119709676833518,0.00192105784690817,26,0.0341153376261279
Q8IUK5,PLXDC1,0.407248353930293,0.131484909517956,0.00195291406141036,26,0.0342869571008979
Q14254,FLOT2,-0.316475244733787,0.102471546471126,0.0020122339243161,26,0.0349314765513301
P49247,RPIA,-0.336379202857956,0.109181038173949,0.00206354730747449,26,0.035424228778312
P17252,PRKCA,-0.29884805010035,0.0973234698506214,0.00213580599107036,26,0.0362617610571836
Q96KN2,CNDP1,0.721134987139656,0.235424131968894,0.00219034057332503,26,0.0367834368020345
Q8WUJ3,CEMIP,0.34306608125599,0.11235835414715,0.00226323974319982,26,0.0375059366322565
Q9H2G2,SLK,-0.153172297325281,0.0502063665625255,0.00228191459121819,26,0.0375059366322565
A2RRP1,NBAS,-0.276673499186648,0.0909225362263839,0.00234264682867624,26,0.0380988352663662
O94985,CLSTN1,0.464758612845765,0.153201038127413,0.00241613081067399,26,0.0388846052342846
P98095,FBLN2,0.436252503982788,0.144135450727455,0.00247252052496251,26,0.0393818990831658
Q76LX8,ADAMTS13,0.275294310791778,0.0914224583792221,0.00260189234877473,26,0.0408605071825396
P48426,PIP4K2A,-0.284177218651792,0.0945205914544362,0.00264264301755269,26,0.0408605071825396
O60229,KALRN,-0.278085121167072,0.0925720194247612,0.00266466916255846,26,0.0408605071825396
Q9HCM2,PLXNA4,-0.301164818321334,0.100327668057567,0.00268377683446919,26,0.0408605071825396
P52907,CAPZA1,-0.299768157898677,0.100077006806178,0.00274107680480439,26,0.0408605071825396
P63000,RAC1,-0.353124456316088,0.117948957813248,0.0027545861725986,26,0.0408605071825396
Q9NY97,B3GNT2,0.454802583994107,0.151971850640209,0.00276542722072634,26,0.0408605071825396
Q8NBJ4,GOLM1,0.508560283274547,0.17005014163005,0.00278385293198502,26,0.0408605071825396
Q6EMK4,VASN,0.532288715237607,0.178172260579992,0.00281274011277871,26,0.0408605071825396
Q9H159,CDH19,0.459487834584866,0.154061643616231,0.00285910817098175,26,0.0408605071825396
P02652,APOA2,0.392460421980518,0.131676422695237,0.00287786485962165,26,0.0408605071825396
Q6E0U4,DMKN,0.417173276203478,0.13999218825465,0.00288271539346072,26,0.0408605071825396
P18206,VCL,0.260339765950786,0.0876323203733346,0.00297006730556504,26,0.0417159453372544
Q92673,SORL1,0.720220076837356,0.242695462112239,0.0030014660872325,26,0.0417755051053057
Q9Y2B0,CNPY2,-0.432332305165401,0.14587216740657,0.00303890244716231,26,0.0417755051053057
Q99623,PHB2,-0.292005303231468,0.098580300161407,0.00305542529249161,26,0.0417755051053057
Q13561,DCTN2,-0.191951159161929,0.0649450745066113,0.00312069352251245,26,0.0421430138887654
P19320,VCAM1,0.389623951590364,0.131897153932146,0.00313685863896959,26,0.0421430138887654
O00194,RAB27B,-0.36702769211476,0.12462415153378,0.00322874552493437,26,0.0430035503105484
P01599,IGKV1-17,0.770655012437687,0.262300673915897,0.00330273527270147,26,0.043592475124822
Q8N307,MUC20,0.439192559929178,0.149621852614837,0.00333171257881607,26,0.043592475124822
Q04637,EIF4G1,-0.173995186886676,0.0593243469392744,0.00335760811641024,26,0.043592475124822
P16284,PECAM1,-0.330768544089012,0.113345996844199,0.00352035987399755,26,0.0453246333777184
Q8NE86,MCU,-0.295064892325062,0.1014273522651,0.00362441384953678,26,0.0458027129936234
Q9Y240,CLEC11A,0.495137217156358,0.170227952929511,0.00362967883030299,26,0.0458027129936234
P68366,TUBA4A,-0.48211024289932,0.165831377377178,0.00364642957813312,26,0.0458027129936234
Q8WWA0,ITLN1,0.453389364014166,0.156622837662221,0.00379418902581588,26,0.0472743713297221
P01130,LDLR,0.410555112544033,0.142025025890987,0.00384355840552885,26,0.0475063818923366
P13727,PRG2,0.306747322938897,0.106280455160919,0.00389916437367123,26,0.0478111822009687
Q14767,LTBP2,0.477308346654165,0.165863411589359,0.00400561341596933,26,0.0487297065171072
P43251,BTD,0.522785699252047,0.183077606518844,0.00429635104854557,26,0.0517097892430426
P06727,APOA4,0.316101489439169,0.110844057940778,0.00434768786421922,26,0.0517097892430426
Q8WXG6,MADD,-0.154907288412836,0.0543299585016538,0.0043550251276781,26,0.0517097892430426
Q13201,MMRN1,-0.3688101983497,0.129643797501351,0.00444398293206674,26,0.0517097892430426
Q15738,NSDHL,-0.323312422778422,0.113734845234268,0.00447351560635291,26,0.0517097892430426
A0A0B4J1X5,IGHV3-74,0.684874259492112,0.241016934191571,0.0044887456884095,25,0.0517097892430426
Q96EE4,CCDC126,0.499261231880936,0.175807702211556,0.00451397987436539,26,0.0517097892430426
P27487,DPP4,0.481048862788579,0.169412814070748,0.00451833109890664,26,0.0517097892430426
P55809,OXCT1,-0.318739162179067,0.112363663084518,0.00455860290267169,25,0.0517870697399101
Q5JRA6,MIA3,0.706343975088443,0.249417711362183,0.00462618993953673,26,0.0518390465930685
O94826,TOMM70,-0.232085511025681,0.0819600946297816,0.00463028377336146,26,0.0518390465930685
Q70J99,UNC13D,-0.238803533224178,0.0844469967171585,0.00468615961684592,26,0.0520871698419205
P52306,RAP1GDS1,-0.187409093990803,0.0663745852391367,0.00475014155576979,26,0.0524212050261737
Q96C24,SYTL4,-0.294273028900011,0.104434307874598,0.00483567508527206,26,0.0529866525301088
Q9H251,CDH23,0.632883824334031,0.225028186499557,0.00491634240036439,26,0.0534911902011478
P07203,GPX1,-0.398182395769548,0.142340847305901,0.00515178294619462,26,0.0556608716914034
P30273,FCER1G,0.513980475832659,0.184154737218019,0.00525414135253792,26,0.0558323161799787
Q9Y315,DERA,-0.201649073357219,0.0722563833049789,0.00525870351665264,26,0.0558323161799787
Q9UNZ2,NSFL1C,-0.346624484895165,0.124252547849834,0.0052760635354543,25,0.0558323161799787
Q9NQC3,RTN4,-0.459530885700682,0.165278957870119,0.00543028331006534,26,0.0566850647272756
Q08830,FGL1,0.420123303845883,0.151106773097662,0.00543074365659382,26,0.0566850647272756
P23471,PTPRZ1,0.464776999988896,0.167410605737849,0.00549865670813741,26,0.0566850647272756
Q7Z7G0,ABI3BP,0.485024701412508,0.174721396076091,0.00550340434245394,26,0.0566850647272756
O43157,PLXNB1,0.371144102516931,0.133908999171612,0.00557790784558154,26,0.0570719710028045
Q14203,DCTN1,-0.207075167645299,0.0747799264504991,0.00562065960855441,26,0.0570989993283153
Q96F07,CYFIP2,-0.745974868970187,0.269609486982239,0.0056597018155295,26,0.0570989993283153
Q9H267,VPS33B,-0.194828843357537,0.0705509972315363,0.00575308613571903,25,0.0570989993283153
Q15042,RAB3GAP1,-0.205911270273638,0.0745869446103725,0.00576797798162404,26,0.0570989993283153
A0A0A0MT36,IGKV6D-21,0.636071981638171,0.230404970991837,0.00576830126111049,23,0.0570989993283153
Q9BWM7,SFXN3,-0.265535496831616,0.0962521110088237,0.00580229313562816,26,0.0570989993283153
Q16836,HADH,-0.300985691401639,0.109201842294324,0.00584713776790245,26,0.0571761256418309
P55291,CDH15,0.432938678901725,0.157333840473367,0.00592831810503296,26,0.0574057722061739
O00187,MASP2,0.433590007664823,0.157623055177959,0.00594493433850345,26,0.0574057722061739
P30153,PPP2R1A,-0.196698861661529,0.0718164142735886,0.00616428110879263,26,0.0591541261682274
A0A075B6J9,IGLV2-18,0.434080257927756,0.15867090270568,0.0062242657453072,26,0.0593610529413557
P58335,ANTXR2,0.472632612930567,0.173357309032451,0.00640391493199045,26,0.060275039100655
P01593;P01594,IGKV1-33;IGKV1D-33,0.88744090516947,0.325614368329795,0.00642167540829408,26,0.060275039100655
Q9BX67,JAM3,-0.240628665001075,0.0883394885678701,0.00645144188717961,23,0.060275039100655
P23219,PTGS1,-0.260034177489722,0.0955079124913737,0.00647615306841989,26,0.060275039100655
Q9ULI3,HEG1,0.330772714959942,0.121732931201638,0.00658368198784035,26,0.0609089141988823
P10721,KIT,0.43958951183059,0.162270694757985,0.00674885964340534,26,0.0620654056491741
P22792,CPN2,0.252200205484233,0.0932426214057522,0.00683509018722836,26,0.0624864753802829
P23526,AHCY,-0.241802363245084,0.0896366498330398,0.00698447293009475,26,0.0634765333940964
P08311,CTSG,0.430950858552592,0.160303632333661,0.00718079824023483,26,0.0648489539151875
Q8NBX0,SCCPDH,-0.488775870159603,0.181974779108381,0.00723230637063023,26,0.0648489539151875
Q8TER0,SNED1,0.354285352730627,0.131968920065907,0.00726140390118281,26,0.0648489539151875
P80108,GPLD1,0.475986103300637,0.177880412677174,0.00745339956050425,26,0.0661810478217187
Q9NRY5,FAM114A2,-0.24536455156075,0.0920481129019871,0.00768483358563516,26,0.0676177270041347
P04899,GNAI2,-0.232382346469845,0.0872354910985106,0.00772517815714551,26,0.0676177270041347
P68133,ACTA1,-0.407578089192611,0.153102511804955,0.00776489389878204,26,0.0676177270041347
P10809,HSPD1,-0.264042926007489,0.0993589474856503,0.00787307636025864,26,0.0676177270041347
O95967,EFEMP2,0.531653076049248,0.200126442656619,0.00789363493096243,26,0.0676177270041347
Q6V0I7,FAT4,0.367182506177394,0.13828123446319,0.0079230524799092,26,0.0676177270041347
P23368,ME2,-0.2959305551612,0.111517152487113,0.00796198895397129,26,0.0676177270041347
Q07954,LRP1,0.312745302757951,0.117859824947913,0.00796532447556797,26,0.0676177270041347
P35579,MYH9,-0.382477306746195,0.144617804066682,0.0081752345230105,26,0.0688707459128668
P11362,FGFR1,0.247190475787484,0.0935447817673209,0.0082300648114349,26,0.0688707459128668
Q5SQ64,LY6G6F,-0.369925281897801,0.140043897803899,0.00825409801301451,26,0.0688707459128668
P13489,RNH1,0.467768412853745,0.17766267384759,0.00846587658636075,26,0.0688707459128668
Q9P0L0,VAPA,-0.314307690896939,0.119396786352023,0.00847681123525027,26,0.0688707459128668
P62993,GRB2,-0.205471291673758,0.0781735393101026,0.00857877002475975,26,0.0688707459128668
P62805,H4C1,0.732416447484698,0.278670894941557,0.00858257156090729,26,0.0688707459128668
Q9NXR7,BABAM2,-0.281574701506304,0.107185569209057,0.00861455589279475,26,0.0688707459128668
P16615,ATP2A2,-0.249674494209981,0.0950535793110575,0.00862246192980739,26,0.0688707459128668
P01602,IGKV1-5,0.616877601157166,0.234888502368096,0.00863295787938955,26,0.0688707459128668
Q9NQ75,CASS4,-0.198137149201612,0.0754730646164476,0.00865803590068223,26,0.0688707459128668
Q8NBZ7,UXS1,-0.249300435990078,0.0949892051122878,0.00867728933542767,25,0.0688707459128668
P42768,WAS,-0.267097907345342,0.101793471015813,0.00869242424142979,26,0.0688707459128668
O14617,AP3D1,-0.18098157681294,0.0690886361601231,0.00880442206430871,26,0.0694022045375355
Q92859,NEO1,0.285858965851976,0.109296268785341,0.00891098723067228,26,0.0696853566038631
P13224,GP1BB,-0.39249408592621,0.1501104844016,0.00893055055505819,26,0.0696853566038631
Q8IYD1,GSPT2,-0.31065928771638,0.119034552179971,0.00905886900647146,25,0.0703314201758714
Q96P48,ARAP1,-0.182913058618164,0.0701699050379568,0.00914149772509184,26,0.0706180699263344
Q13045,FLII,-0.160668049575797,0.061712735770227,0.00922818828475664,26,0.0709330890544727
Q6ZNJ1,NBEAL2,-0.225996644215878,0.0868649877236792,0.00927629412565394,26,0.0709498733868086
Q9UJZ1,STOML2,-0.37764477905726,0.145533018851703,0.00946162713246347,26,0.072010906008158
P07476,IVL,0.307318806917612,0.118551468892698,0.00953416593293743,26,0.0720849060498136
Q08174,PCDH1,0.403795890682028,0.155834576028393,0.0095646639095222,26,0.0720849060498136
Q8TDL5,BPIFB1,0.376361267476207,0.145512020039469,0.00969669447315386,26,0.072725208548654
Q03518,TAP1,0.315773518817996,0.122362320647605,0.00986163812497472,25,0.0736049802081447
P05387,RPLP2,0.251365909832441,0.0974713330817527,0.00991240437475173,25,0.0736281959566895
Q06828,FMOD,0.367314062278439,0.142914223009341,0.0101648181003148,26,0.0746052792400597
Q13576,IQGAP2,-0.192453329734294,0.0748978076807924,0.0101831998404767,26,0.0746052792400597
Q32P44,EML3,0.278943941667255,0.108578060881859,0.0101973746468989,26,0.0746052792400597
P05060,CHGB,0.434041906437592,0.169038130336079,0.0102370998051085,26,0.0746052792400597
Q96FS4,SIPA1,0.417947247796339,0.162941549890313,0.0103171840724746,26,0.0748359126383721
P01859,IGHG2,0.401188162481739,0.156654931983017,0.0104381172179616,26,0.0753593042137885
Q92187,ST8SIA4,0.411355521528779,0.160891538500399,0.0105662518975206,26,0.0759295775891599
Q93084,ATP2A3,-0.295163041214831,0.11565265233017,0.0107060084421872,26,0.0764582266277857
P04844,RPN2,-0.294109550444639,0.115287995098341,0.0107387929956178,26,0.0764582266277857
O60279,SUSD5,0.351348712688818,0.138175181241809,0.010997530157198,26,0.0779412114351878
P49641,MAN2A2,0.23963937613398,0.0946104715632514,0.0113121471092872,26,0.0798048734422319
Q9Y5S2,CDC42BPB,-0.134837281315673,0.0532843868129272,0.011389313578969,26,0.0799840430886688
P35542,SAA4,0.442006695286363,0.175118987196594,0.011601592029903,26,0.0811061524262453
P04278,SHBG,0.484857056789378,0.192345498055876,0.0117101312218434,26,0.0814961835033698
Q99798,ACO2,-0.194707314910511,0.0774359526558953,0.0119224826381527,26,0.0822070388278004
Q15293,RCN1,0.326326408986779,0.129799051502769,0.0119340205047603,26,0.0822070388278004
Q86TH1,ADAMTSL2,0.313070689446315,0.124581867728864,0.0119718988584175,26,0.0822070388278004
P31930,UQCRC1,-0.290671585413529,0.115749675191239,0.0120318558891079,26,0.0822531741091668
P10643,C7,0.552338850666284,0.22032610275346,0.0121789934620394,26,0.0828922682768763
O15031,PLXNB2,0.167384740891913,0.0670175113135972,0.0125027696819177,26,0.0840812638087479
Q14515,SPARCL1,0.283802125955929,0.113674404080907,0.0125382195122523,26,0.0840812638087479
P50851,LRBA,-0.201563852532284,0.0807549402527305,0.0125604698925167,26,0.0840812638087479
P60174,TPI1,0.374183729397908,0.149958765023497,0.0125870494538765,26,0.0840812638087479
P63104,YWHAZ,-0.315145719701879,0.126353781503743,0.0126257949538055,26,0.0840812638087479
Q9UBP4,DKK3,0.397722802445083,0.159613105486903,0.0127100124285656,26,0.0842788377773987
Q9Y287,ITM2B,0.339856229837208,0.136527708420983,0.0128000698583616,26,0.0844943283382773
P07996,THBS1,-0.332389018774339,0.133676911414032,0.0129002830704601,26,0.0844943283382773
Q6NVY1,HIBCH,-0.277322212487441,0.111538476170828,0.0129065770147789,26,0.0844943283382773
Q8IVT5,KSR1,-0.281386109180489,0.113322659964312,0.0130261903850546,26,0.0849175702316851
P08294,SOD3,0.494528351672218,0.200140023354568,0.0134769041373396,26,0.0870356136473496
P40939,HADHA,-0.344330078934662,0.139396075541908,0.0135054070431387,26,0.0870356136473496
Q9GZX9,TWSG1,0.398663535596761,0.161417445786831,0.0135200953238601,25,0.0870356136473496
Q13103,SPP2,0.323343085446538,0.131011892706198,0.0135853707200813,26,0.0870929367739652
O43150,ASAP2,-0.206538522105836,0.0838172651318253,0.0137337670310765,26,0.0874141654970941
P40197,GP5,-0.280886377542549,0.114006984525396,0.0137486357383779,26,0.0874141654970941
Q00610,CLTC,-0.310070551742507,0.126072242665321,0.0139143392794216,26,0.0881051401094521
Q9UGP4,LIMD1,-0.306288442584138,0.124875295856343,0.0141767059470609,24,0.0894000436253432
P57075,UBASH3A,-0.249312251453074,0.102199258920855,0.014708734164235,26,0.092378025543671
Q02108,GUCY1A1,-0.240305057206299,0.0986042273481791,0.0148069569010675,26,0.0926184146240862
P01871,IGHM,0.171871448624806,0.0708761591241781,0.015310312854884,26,0.0950203568378225
O15117,FYB1,-0.169765492542657,0.0700102040987746,0.0153139604224063,26,0.0950203568378225
P02647,APOA1,0.113698741685082,0.0469916823405977,0.0155397090410548,26,0.0956952339154999
P22695,UQCRC2,-0.233387055806166,0.0964652872723489,0.0155466043448482,26,0.0956952339154999
O60256,PRPSAP2,-0.265754320437558,0.109944478057291,0.0156417777985498,25,0.0958989948363472
Q9H4B7,TUBB1,-0.30620883501559,0.127079197929831,0.0159704322486195,26,0.0975269479214117
P55157,MTTP,0.446622598004083,0.185671133718386,0.0161525694296522,24,0.0981292206347413
Q9Y6F6,IRAG1,-0.243747379884207,0.101372744027883,0.0161960849591321,26,0.0981292206347413
P16452,EPB42,0.484824420522327,0.202105606830838,0.0164458980602825,26,0.0992535644653767
P10909,CLU,0.18617755766159,0.0778195960946097,0.0167374423583022,26,0.100620032854385
P50416,CPT1A,-0.236391586172612,0.0989445393456097,0.0168882236159622,26,0.101068253816082
Q96PD5,PGLYRP2,0.393142343891638,0.164636198902851,0.016942833487615,26,0.101068253816082
Q99961,SH3GL1,0.280404145936275,0.117747248103833,0.0172466350257707,25,0.102399617094261
P08697,SERPINF2,0.394715576664387,0.165826019473876,0.0172985760916519,26,0.102399617094261
P30740,SERPINB1,-0.111369044424856,0.0468198028374603,0.0173750378234799,26,0.102459669607926
P24557,TBXAS1,-0.344613209794433,0.145142969978411,0.017582174476436,26,0.103012748560545
O00429,DNM1L,-0.142449980896999,0.0600212528909926,0.0176287121225815,26,0.103012748560545
Q9Y4I1,MYO5A,-0.211993903957194,0.0893551921605516,0.0176688533129737,26,0.103012748560545
Q8IZ83,ALDH16A1,-0.158624272811133,0.0669213161182422,0.017773170533154,26,0.10323138523956
P07333,CSF1R,0.407374617437827,0.172267811649161,0.0180410268673523,26,0.104394706030185
A0A075B6S5,IGKV1-27,0.454458671048045,0.192327763746385,0.0181306797388257,26,0.104522015658529
Q07866,KLC1,0.245016427482636,0.1038514175536,0.0183095527930096,26,0.104563118531684
Q6EEV6;P55854;P61956,SUMO2;SUMO3;SUMO4,0.325083527118048,0.137885582505254,0.018391891689809,25,0.104563118531684
Q02153,GUCY1B1,-0.129041180270875,0.0547454195425751,0.0184176050123732,26,0.104563118531684
Q9BXJ4,C1QTNF3,0.485934562455842,0.206252049220224,0.0184717761951086,26,0.104563118531684
P06576,ATP5F1B,-0.28155556013234,0.119530304324282,0.0184969938586185,26,0.104563118531684
Q9H7J1,PPP1R3E,-0.188862000486706,0.0802106394536556,0.0185438799208295,26,0.104563118531684
O15143,ARPC1B,0.354459219801737,0.150670604735512,0.0186454861306051,26,0.104753731170127
Q14571,ITPR2,-0.182466428060899,0.077706893085382,0.0188675818819895,26,0.105617442056789
Q02218,OGDH,-0.192963200624607,0.0823870603018372,0.0191727908944059,26,0.106938490728726
P43121,MCAM,0.433357599181032,0.185596492745047,0.019546295135621,26,0.108629589872426
P51659,HSD17B4,-0.301534209921911,0.129234038990326,0.0196354791624115,26,0.108734105039161
Q9HBI1,PARVB,-0.279063454301306,0.119704085950661,0.0197387265433901,26,0.108915473248349
P12111,COL6A3,0.304615371109398,0.130837936341439,0.0199020996645527,26,0.109426135166313
Q9UP79,ADAMTS8,0.549271668030731,0.236344980605426,0.0201241486270401,25,0.110254644073677
Q9Y224,RTRAF,-0.142982379967719,0.0616143463882544,0.0203083302038409,26,0.110870565953831
P80748,IGLV3-21,0.518441953290553,0.224576809151625,0.0209697623027298,24,0.114078460414498
O43182,ARHGAP6,-0.192070684495558,0.0832531768520692,0.0210510668532993,26,0.114118941362622
Q8WUA8,TSKU,0.439409724686279,0.19077943971933,0.0212656711891634,25,0.114517642766995
Q9UNF1,MAGED2,-0.217014778340036,0.0942269871592139,0.0212728566175583,26,0.114517642766995
P60842,EIF4A1,-0.208421532164938,0.0905545631337901,0.0213570235349589,26,0.114571532505248
Q14766,LTBP1,-0.231198557872058,0.100555131232668,0.0214923431818612,26,0.114827203457999
Q7L7X3,TAOK1,-0.159624036931057,0.069457661996589,0.0215533262154172,26,0.114827203457999
P08962,CD63,0.604835216439844,0.263904120013078,0.0219128656963977,26,0.116341503439637
P07225,PROS1,0.167290242922537,0.0731574669711544,0.0222124908645403,26,0.11752841912916
P35916,FLT4,0.271893427377925,0.119195338568504,0.0225440486869762,26,0.118645522421439
P02654,APOC1,0.386475124989776,0.169578545194649,0.0226650951530894,26,0.118645522421439
Q01082,SPTBN1,-0.170609350197014,0.0748715294870748,0.0226852257684491,26,0.118645522421439
P11171,EPB41,0.410438577860672,0.180180563591932,0.0227307926451429,26,0.118645522421439
Q9P1Z2,CALCOCO1,-0.2012239353604,0.0884025702912633,0.0228326852058879,26,0.118776089707397
Q2PZI1,DPY19L1,-0.290911802205423,0.128204035142486,0.02326033617647,25,0.12023933487706
P04180,LCAT,0.526790732157859,0.232170854328423,0.0232696188532303,26,0.12023933487706
P42345,MTOR,-0.164216647953488,0.0724832173896713,0.0234770090523817,26,0.120827833528186
Q96J42,TXNDC15,0.286835987852432,0.126663217613881,0.0235399209656854,26,0.120827833528186
Q16555,DPYSL2,-0.238900257948727,0.10592358699593,0.0241081144379606,26,0.122595572779218
Q9Y4E8,USP15,-0.152085614721789,0.0674380954389326,0.0241215018519184,26,0.122595572779218
O60814;P57053;P58876;P62807;Q5QNW6;Q93079;Q99877;Q99879;Q99880,H2BC12;H2BC12L;H2BC13;H2BC14;H2BC15;H2BC18;H2BC4;H2BC5;H2BC9,0.788910923261351,0.349885131243648,0.0241476928112584,26,0.122595572779218
Q13740,ALCAM,0.342499015525856,0.15195759224681,0.0242017150146676,26,0.122595572779218
Q8NFQ8,TOR1AIP2,-0.274685979529036,0.121999679806037,0.0243519680176424,26,0.122953564010645
P08519,LPA,0.233403377457838,0.103779947781161,0.0245111014799106,26,0.123353914613882
Q99683,MAP3K5,-0.325739899407765,0.144963694542697,0.0246371714526146,24,0.123585811345096
P40238,MPL,-0.346887687333287,0.154473564200736,0.0247288720579946,26,0.123644360289973
Q96AP7,ESAM,-0.190259014829912,0.0848398400151221,0.0249247583820706,26,0.124221779678384
P14543,NID1,0.203725387492053,0.0909443053475453,0.0250836828360335,26,0.124611864892835
Q7LGC8,CHST3,0.314619123644555,0.140739193622967,0.0253860996683433,26,0.12547658760586
Q96RL7,VPS13A,-0.18080854541227,0.0809002367841382,0.0254201760004105,26,0.12547658760586
Q8N9U0,TC2N,-0.263667986828432,0.118192457439679,0.0256919955592298,26,0.12641443674844
O15327,INPP4B,-0.200439696469557,0.0903543399871479,0.0265293590769461,26,0.129724393079066
P00739,HPR,0.499855134562827,0.225329902350098,0.0265326266750711,26,0.129724393079066
P02753,RBP4,-0.242761505735822,0.109723594081282,0.026933360423181,26,0.131268270832223
P55290,CDH13,0.338095311389984,0.152963622773653,0.0270844320706629,26,0.131526321667037
Q86UX7,FERMT3,-0.184112797202329,0.0833556815995339,0.0271912535392815,26,0.131526321667037
P27824,CANX,-0.187490620015607,0.0849198664198486,0.0272544907240504,26,0.131526321667037
O75083,WDR1,-0.20177602865718,0.0914330476584852,0.0273268279968407,26,0.131526321667037
Q4V328,GRIPAP1,-0.149330312456922,0.0677168263017085,0.027438854340621,26,0.131655372534967
P02656,APOC3,0.301531067880537,0.137296511478159,0.0280773867978006,26,0.134302051401244
Q9NQ79,CRTAC1,0.316169506520315,0.144204412533635,0.0283427568473292,26,0.135152960892357
P11277,SPTB,-0.149229309770079,0.0681315417426346,0.0285016423413107,26,0.135492422822538
P55058,PLTP,0.33826458172355,0.154927889735154,0.0290087276745593,26,0.137480013058878
P0C0L4,C4A,0.692974204282204,0.317996530065101,0.0293177092374893,26,0.138519451901899
Q8NBP7,PCSK9,0.271902639568838,0.124907800415419,0.029493497373872,26,0.138925162934854
O00533,CHL1,0.331178952339354,0.15244045638486,0.0298169510569183,26,0.140021852227777
P07360,C8G,0.432681997606854,0.199444777448931,0.0300498579202484,26,0.140434172716405
Q15582,TGFBI,0.265972126653821,0.122627183906349,0.0300865444460389,26,0.140434172716405
Q99816,TSG101,-0.204128038900405,0.0942706299584671,0.0303615979708456,26,0.141291171279989
Q7Z6Z7,HUWE1,-0.157905754254237,0.073030524975723,0.0306036569827343,26,0.141989940055028
P16112,ACAN,0.288811191351561,0.133731483480722,0.0308009372786938,26,0.14247738950773
P55010,EIF5,-0.249993819840115,0.115848506986741,0.0309327033043918,26,0.142659780911299
O00232,PSMD12,-0.19600054530907,0.0909463012785762,0.031152141811351,26,0.143244223507551
P02741,CRP,0.463964366654947,0.215854367233371,0.0316001408452258,26,0.144684674038516
P20774,OGN,0.425628608972285,0.198080187531401,0.0316526989158696,26,0.144684674038516
Q9BUN1,MENT,0.458441600125049,0.213668156287959,0.0319066978376234,26,0.145415481295363
P35237,SERPINB6,-0.139143767459749,0.0650316905116007,0.0323846658842341,26,0.147159731738652
P55209,NAP1L1,-0.20888926973613,0.0982841973575401,0.0335566123878009,26,0.152038023868482
P35555,FBN1,0.532745857854552,0.250891674383888,0.0337195207890469,26,0.15232941409087
P13497,BMP1,0.270884344000564,0.127769805163913,0.0339978900756873,26,0.152980451991723
P23588,EIF4B,-0.366825078068414,0.173084508015947,0.0340616669806814,23,0.152980451991723
Q6P3X3,TTC27,-0.170968843402337,0.0807924111615161,0.034332070531457,26,0.153260965495906
P21333,FLNA,-0.299406375636692,0.141504918386922,0.034355646736138,26,0.153260965495906
P07358,C8B,0.33464739017672,0.158281545583692,0.0344935793210041,26,0.153260965495906
A0A0C4DH67,IGKV1-8,0.569779290422982,0.269587514950612,0.0345560675354999,25,0.153260965495906
