ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,set,ontology,category,subcategory
GO:0009986,cell surface,24/127,136/1516,0.176470588235294,2.1065308012969,4.08837263215589,0.00018521915171047,0.0125485975283844,0.0123804380353841,APMAP/IGF2R/LRRC32/COLEC10/SELL/NCAM1/TGFB1/CDH5/PDIA3/SERPINA5/CSPG4/GP6/CD44/ADGRG6/P2RX1/ADGRF5/CLSTN1/ADAMTS13/VASN/SORL1/PHB2/VCAM1/PECAM1/LDLR,24,alle,CC,,
GO:0007155,cell adhesion,33/75,289/1487,0.114186851211073,2.2639446366782,5.51532681238267,5.11408017375437e-07,0.00072169306763314,0.00068875272014781,SVEP1/COL18A1/TNC/NRP2/DPT/THSD1/CDH6/RELN/SELL/PCDH18/COL12A1/NCAM1/TNXB/CDH5/PDIA3/DCHS1/APOD/NRP1/CD44/APLP1/FAT1/OMD/IGF1/LAMC1/THBS3/HSPG2/COL14A1/CLSTN1/FBLN2/ADAMTS13/CDH19/VCL/VCAM1,33,opp,BP,,
GO:0030198,extracellular matrix organization,13/75,57/1487,0.228070175438597,4.52187134502924,6.24691482032176,1.99638469608061e-06,0.00072169306763314,0.00068875272014781,COL18A1/DPT/PTX3/COL12A1/TNXB/LTBP4/MMP19/APLP1/LAMC1/AGT/QSOX1/COL14A1/ADAMTS13,13,opp,BP,,
GO:0043062,extracellular structure organization,13/75,57/1487,0.228070175438597,4.52187134502924,6.24691482032176,1.99638469608061e-06,0.00072169306763314,0.00068875272014781,COL18A1/DPT/PTX3/COL12A1/TNXB/LTBP4/MMP19/APLP1/LAMC1/AGT/QSOX1/COL14A1/ADAMTS13,13,opp,BP,,
GO:0045229,external encapsulating structure organization,13/75,57/1487,0.228070175438597,4.52187134502924,6.24691482032176,1.99638469608061e-06,0.00072169306763314,0.00068875272014781,COL18A1/DPT/PTX3/COL12A1/TNXB/LTBP4/MMP19/APLP1/LAMC1/AGT/QSOX1/COL14A1/ADAMTS13,13,opp,BP,,
GO:0009887,animal organ morphogenesis,14/75,76/1487,0.184210526315789,3.65228070175439,5.46871716300488,1.16050174331311e-05,0.0033561710416615,0.00320298481154417,COL18A1/TNC/NRP2/ASPN/CTSH/DCHS1/NRP1/APLP1/FAT1/ADGRG6/THBS3/DCN/AGT/MGP,14,opp,BP,,
GO:0048513,animal organ development,30/75,287/1487,0.104529616724739,2.07247386759582,4.65971904718949,1.63331276978791e-05,0.00358460738364249,0.00342099459849698,COL18A1/TNC/NRP2/IGF2R/PTX3/ASPN/CTSH/RELN/PCDH18/NCAM1/TNXB/DCHS1/APOD/NRP1/CD44/APLP1/FAT1/ADGRG6/IGF1/THBS3/DCN/AGT/MGP/HSPG2/COL14A1/NME1/VASN/APOA2/SORL1/VCAM1,30,opp,BP,,
GO:0072359,circulatory system development,20/75,148/1487,0.135135135135135,2.67927927927928,4.9600515079787,1.73657435776792e-05,0.00358460738364249,0.00342099459849698,SVEP1/COL18A1/NRP2/CTSH/CDH5/DCHS1/APOD/MMP19/CSPG4/NRP1/ADGRG6/ANGPTL6/IGF1/DCN/HSPG2/COL14A1/ADGRF5/PLXDC1/VCAM1/LDLR,20,opp,BP,,
GO:0009653,anatomical structure morphogenesis,32/75,322/1487,0.0993788819875776,1.97035196687371,4.5322822895521,2.17535655860658e-05,0.00358460738364249,0.00342099459849698,SVEP1/COL18A1/TNC/NRP2/ASPN/CTSH/CDH6/RELN/COL12A1/NCAM1/CDH5/DCHS1/APOD/MMP19/CSPG4/NRP1/CD44/APLP1/FAT1/ADGRG6/ANGPTL6/THBS3/DCN/AGT/MGP/HSPG2/ADGRF5/PLXDC1/B3GNT2/CDH19/VCL/LDLR,32,opp,BP,,
GO:0048731,system development,38/75,421/1487,0.0902612826603325,1.78958036421219,4.40840486613733,2.23108343380238e-05,0.00358460738364249,0.00342099459849698,SVEP1/COL18A1/TNC/NRP2/IGF2R/PTX3/CTSH/RELN/PCDH18/NCAM1/TNXB/CDH5/DCHS1/APOD/MMP19/CSPG4/NRP1/CD44/APLP1/FAT1/ADGRG6/ANGPTL6/IGF1/THBS3/DCN/AGT/MGP/HSPG2/COL14A1/NME1/ADGRF5/PLXDC1/CLSTN1/B3GNT2/VCL/SORL1/VCAM1/LDLR,38,opp,BP,,
GO:0035239,tube morphogenesis,17/75,118/1487,0.14406779661017,2.85638418079096,4.84205620799334,3.71254251014198e-05,0.00536833646966531,0.00512330866399594,COL18A1/TNC/NRP2/CTSH/CDH5/DCHS1/APOD/MMP19/CSPG4/NRP1/ANGPTL6/DCN/AGT/HSPG2/ADGRF5/PLXDC1/LDLR,17,opp,BP,,
GO:0070848,response to growth factor,15/75,96/1487,0.15625,3.09791666666667,4.89646858802756,4.37001923197537e-05,0.00574458891766945,0.00548238776375093,TNC/NRP2/ASPN/MXRA5/TNXB/CDH5/LTBP4/NRP1/CD44/DCN/AGT/VASN/SORL1/VCAM1/LTBP2,15,opp,BP,,
GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,9/75,38/1487,0.236842105263158,4.69578947368421,5.31725536109127,6.49994798428378e-05,0.00763943766620105,0.00729074963994291,CDH6/SELL/PCDH18/CDH5/DCHS1/FAT1/CLSTN1/CDH19/VCAM1,9,opp,BP,,
GO:0060485,mesenchyme development,8/75,30/1487,0.266666666666667,5.28711111111111,5.46535377137008,6.86809748690274e-05,0.00763943766620105,0.00729074963994291,NRP2/NCAM1/TNXB/DCHS1/NRP1/IGF1/AGT/VASN,8,opp,BP,,
GO:0016477,cell migration,26/75,249/1487,0.104417670682731,2.07025435073628,4.26431267489402,8.3069290270665e-05,0.0080229953918977,0.00765680058147914,TNC/NRP2/CTSH/CDH6/RELN/SELL/TNXB/CDH5/DCHS1/APOD/AKAP12/CSPG4/NRP1/CD44/FAT1/IGF1/LAMC1/CHGA/DCN/AGT/PRSS3/CEMIP/CDH19/VCL/SORL1/VCAM1,26,opp,BP,,
GO:0007275,multicellular organism development,40/75,479/1487,0.0835073068893528,1.65567153792624,4.01556361530272,8.32260932769471e-05,0.0080229953918977,0.00765680058147914,SVEP1/COL18A1/TNC/NRP2/IGF2R/PTX3/ASPN/CTSH/RELN/PCDH18/COL12A1/NCAM1/TNXB/CDH5/DCHS1/APOD/MMP19/CSPG4/NRP1/CD44/APLP1/FAT1/ADGRG6/ANGPTL6/IGF1/THBS3/DCN/AGT/MGP/HSPG2/COL14A1/NME1/ADGRF5/PLXDC1/CLSTN1/B3GNT2/VCL/SORL1/VCAM1/LDLR,40,opp,BP,,
GO:0090287,regulation of cellular response to growth factor stimulus,9/75,41/1487,0.219512195121951,4.35219512195122,5.01487092805312,0.000123458133745832,0.0111575288372796,0.010648264035578,ASPN/TNXB/CDH5/LTBP4/NRP1/DCN/AGT/VASN/SORL1,9,opp,BP,,
GO:0009888,tissue development,23/75,213/1487,0.107981220657277,2.14090766823161,4.14455850802921,0.000150193239330099,0.0127752602394896,0.0121921570750316,SVEP1/COL18A1/TNC/NRP2/ASPN/CTSH/COL12A1/NCAM1/TNXB/CDH5/DCHS1/NRP1/CD44/FAT1/IGF1/LAMC1/THBS3/AGT/MGP/COL14A1/VASN/VCL/SORL1,23,opp,BP,,
GO:0016339,calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules,5/75,12/1487,0.416666666666667,8.26111111111111,5.8186251983342,0.000171574273007664,0.013783133264949,0.0131540275972543,CDH6/SELL/CDH5/DCHS1/CDH19,5,opp,BP,,
GO:0048762,mesenchymal cell differentiation,7/75,26/1487,0.269230769230769,5.33794871794872,5.14124935065775,0.000190523591587168,0.01385051623679,0.0132183349977664,NRP2/NCAM1/TNXB/NRP1/IGF1/AGT/VASN,7,opp,BP,,
GO:0001944,vasculature development,15/75,109/1487,0.137614678899083,2.72844036697248,4.31882621403144,0.000200297673018037,0.01385051623679,0.0132183349977664,SVEP1/COL18A1/NRP2/CTSH/CDH5/APOD/MMP19/CSPG4/NRP1/ANGPTL6/DCN/HSPG2/ADGRF5/PLXDC1/LDLR,15,opp,BP,,
GO:0048514,blood vessel morphogenesis,14/75,97/1487,0.144329896907216,2.86158075601375,4.36900997101359,0.000201148576052966,0.01385051623679,0.0132183349977664,COL18A1/NRP2/CTSH/CDH5/APOD/MMP19/CSPG4/NRP1/ANGPTL6/DCN/HSPG2/ADGRF5/PLXDC1/LDLR,14,opp,BP,,
GO:0007166,cell surface receptor signaling pathway,29/75,312/1487,0.092948717948718,1.84286324786325,3.85867471351021,0.000246596289574019,0.014964046022752,0.0142810397727508,SVEP1/NRP2/IGF2R/ASPN/COLEC10/CDH6/ADGRL4/RELN/NCAM1/TNXB/CDH5/PDIA3/APOD/LTBP4/CSPG4/NRP1/CD44/ADGRG6/IGF1/LAMC1/DCN/AGT/HSPG2/ADGRF5/ADAMTS13/VASN/SORL1/MUC20/LTBP2,29,opp,BP,,
GO:0007156,homophilic cell adhesion via plasma membrane adhesion molecules,7/75,27/1487,0.259259259259259,5.14024691358025,5.0021232037592,0.000246891429342788,0.014964046022752,0.0142810397727508,CDH6/PCDH18/CDH5/DCHS1/FAT1/CLSTN1/CDH19,7,opp,BP,,
GO:0048870,cell motility,26/75,265/1487,0.0981132075471698,1.94525786163522,3.91075239648009,0.000248365909091319,0.014964046022752,0.0142810397727508,TNC/NRP2/CTSH/CDH6/RELN/SELL/TNXB/CDH5/DCHS1/APOD/AKAP12/CSPG4/NRP1/CD44/FAT1/IGF1/LAMC1/CHGA/DCN/AGT/PRSS3/CEMIP/CDH19/VCL/SORL1/VCAM1,26,opp,BP,,
GO:0035295,tube development,17/75,137/1487,0.124087591240876,2.46024330900243,4.13277072358052,0.000261134638828244,0.0151040275098256,0.0144146320633191,COL18A1/TNC/NRP2/CTSH/CDH5/DCHS1/APOD/MMP19/CSPG4/NRP1/ANGPTL6/DCN/AGT/HSPG2/ADGRF5/PLXDC1/LDLR,17,opp,BP,,
GO:0007167,enzyme-linked receptor protein signaling pathway,17/75,141/1487,0.120567375886525,2.39044917257683,3.9982029239193,0.000373728268327565,0.0207850413846792,0.0198363465496938,SVEP1/NRP2/IGF2R/ASPN/TNXB/CDH5/APOD/LTBP4/CSPG4/NRP1/IGF1/DCN/AGT/VASN/SORL1/MUC20/LTBP2,17,opp,BP,,
GO:0071363,cellular response to growth factor stimulus,13/75,92/1487,0.141304347826087,2.80159420289855,4.11042258921776,0.000436670855940885,0.0233861502848341,0.0223187326369786,NRP2/ASPN/TNXB/CDH5/LTBP4/NRP1/CD44/DCN/AGT/VASN/SORL1/VCAM1/LTBP2,13,opp,BP,,
GO:0001568,blood vessel development,14/75,105/1487,0.133333333333333,2.64355555555556,4.02483151369963,0.000475943775234114,0.0245790963924475,0.0234572289222528,COL18A1/NRP2/CTSH/CDH5/APOD/MMP19/CSPG4/NRP1/ANGPTL6/DCN/HSPG2/ADGRF5/PLXDC1/LDLR,14,opp,BP,,
GO:0030199,collagen fibril organization,5/75,15/1487,0.333333333333333,6.60888888888889,5.03026945462018,0.000577080861757631,0.0287744457276391,0.027461089283639,COL18A1/DPT/COL12A1/TNXB/COL14A1,5,opp,BP,,
