annotation,sig_hit,sig_n,sig_pct,ns_hit,ns_n,ns_pct,OR,p
"Vesiclepedia, ALLE kilder",114,127,89.8,1305,1418,92,0.759,0.395371463752769
"Vesiclepedia, KUN humant plasma",65,127,51.2,835,1418,58.9,0.732,0.110039578301267
