utfall,klynge,beta,lo,hi,p,n
VO2max.kg,C1,-4.21432859866407,-14.848947825117,6.42029062778884,0.419134932626058,26
VO2max.kg,C2,-0.940344192613936,-19.9432272251466,18.0625388399188,0.919012206750168,26
VO2max.kg,C3,1.01265334120254,-14.7451184998796,16.7704251822846,0.89495673715326,26
VO2max.kg,C4,-0.581482163570098,-19.6557164158822,18.492752088742,0.950049579249496,26
M_mg.kg.min,C1,-2.42342224145801,-12.8563597994772,8.00951531656119,0.634047861638315,26
M_mg.kg.min,C2,-12.6784699694753,-31.3209702677095,5.96403032875901,0.171925931444498,26
M_mg.kg.min,C3,1.89463793111749,-13.5642935238602,17.3535693860951,0.801298067878937,26
M_mg.kg.min,C4,-7.22677313469826,-25.9392715028959,11.4857252334994,0.430886505721419,26
