Genes,p_VO2_marg,p_M_marg,p_VO2_adj,p_M_adj
PPP1R3E,0.390262061472241,0.626323289797149,0.487340449213238,0.955540905421407
STX11,0.160987196112319,0.172308060667418,0.487936903715377,0.537756274280811
PLXNB1,0.462867650763091,0.760970997850125,0.488766803040477,0.820507723732829
EFEMP1,0.245570952261745,0.334228695306478,0.489046662158788,0.784588103987093
SNED1,0.0668591095129665,0.0347356924990643,0.489572572009772,0.208863369120737
C3,0.564598588746898,0.949390210246095,0.489614134004108,0.685794929660718
RCN1,0.69406265735656,0.815223878267954,0.49005348648105,0.537207366486861
NBEAL2,0.830707285241471,0.609669627493051,0.492404963800225,0.411350996716464
ACTN1,0.244867308627565,0.329126485734941,0.492939822900032,0.775502425283693
CPT1A,0.558657922708521,0.939884861138273,0.496644304371587,0.707422982537182
CFHR1,0.414895248754362,0.656343102429612,0.497196536224784,0.909975183445385
SEC23A,0.216133549828905,0.259227803929681,0.500538081855108,0.652544694030093
SDHB,0.370475963357427,0.0622476040648208,0.503639384734772,0.0823944120538817
PARVB,0.404303720707144,0.613270016972004,0.514141545127973,0.959722857043044
CSF1R,0.805118963656738,0.678574973757026,0.515875616172059,0.467838522506439
IGLV2-18,0.476063016610211,0.744552265829013,0.5230703497192,0.877992264524054
ANGPTL6,0.70111477545754,0.184369865214032,0.529442402961981,0.16399162531732
CSF1,0.655932337339005,0.954711772623923,0.531122333762664,0.650396525215784
EIF4G1,0.821405577449415,0.279244616430397,0.531260912432663,0.227235086703011
LRP1,0.939167991157523,0.393518115920904,0.531450914945138,0.299107997959272
