Protein.Group,Genes,n_obs,n_ID,est_ri,se_ri,p_ri,q_ri,shapiro_p,shapiro_p_marginal,shapiro_p_ranef,bp_stat,bp_p,bp_p_marginal,spearman_rho_absres_fitted,spearman_p,levene_p
P43652,AFM,52,26,0.379489420675128,0.322815647836983,0.239770428468892,0.435818014099339,9.85935621372029e-05,9.85935621372029e-05,,2.83005192027793,0.0925153684690522,0.0925153684690522,0.244950746987336,0.0800841105745247,0.39862205239159
Q86YW5,TREML1,52,26,-0.243483277792026,0.300887349378205,0.418390109548804,0.599640741421988,0.000105500390566969,3.43804629979127e-05,0.000568848928387586,9.50762092546051,0.00204620283200713,0.340846282525147,-0.46572184751985,0.000577930784680272,0.611189561088443
P07358,C8B,52,26,0.33464739017672,0.158281545583692,0.0344935793210041,0.153260965495906,0.000111105651906096,0.000115471376322391,0.751229794550501,3.91505731862346,0.0478553834448259,0.0505358857067025,0.343549901818492,0.0130261983322183,0.350890344862478
P06241,FYN,47,26,0.0173981938569003,0.103048927784898,0.865926976044601,0.923296879219399,0.000112366763294319,0.000112366763294319,,0.292977802542231,0.58831857337271,0.58831857337271,-0.10728072282346,0.472911268887741,0.802644701273648
P26927,MST1,42,23,0.358802378082839,0.229022333158103,0.117191887999088,0.288314437832152,0.000124668602094839,0.000239550979038172,0.179199646541815,8.418623061217,0.00371396955109942,0.0259004193313208,0.457742484401588,0.00254169054407105,0.890349991862449
P02647,APOA1,52,26,0.113698741685082,0.0469916823405977,0.0155397090410548,0.0956952339154999,0.000125215852077747,0.000139920962223345,0.0322416596739746,8.10633753973127,0.00441107605968434,0.730983621403391,0.212242807137369,0.130696759964382,0.268215902458441
P00747,PLG,52,26,0.0902779152900833,0.169894270717358,0.595157526311609,0.742145583657333,0.000149569976419676,0.000149569976419676,,4.28221741727485,0.0385130737061527,0.0385130737061527,0.123402727087651,0.383439788274734,0.155054235123688
P02746,C1QB,52,26,0.322410950132365,0.184349817524082,0.0803068489900094,0.235612066315097,0.000153384076481519,3.41402611949666e-05,0.00309850578835284,0.22772887102151,0.633212973725129,0.192684803426734,-0.00119525313753949,0.993506261399464,0.537395467959861
P25311,AZGP1,52,26,0.188438830130132,0.223376974668449,0.398897933439571,0.582511632480281,0.000153982923362905,6.66326712937024e-05,0.00444087133573076,12.1314816775008,0.000495777138800731,0.491270030302886,0.392299154785281,0.0042704604657811,0.761609608180358
P18054,ALOX12,52,26,-0.121842735245411,0.112919632951729,0.280578050478511,0.472456425842375,0.00015664950708017,0.247054684562438,0.715903865463478,5.01035085928199,0.025196200217286,0.379434437581657,-0.150772645778195,0.285096618262624,0.33500752447653
O60496,DOK2,50,26,-0.0190482404048642,0.0884685105198627,0.829524880983857,0.903671944488384,0.000163018131393054,0.00022224003296324,0.240947719904868,1.07874500950792,0.298978475635,0.0901817614628581,-0.0357743097238896,0.804732167480596,0.5584671378928
P12814,ACTN1,52,26,-0.424373296856919,0.112463824702735,0.000161024574048357,0.00802525699692618,0.000164217159090515,0.000211049968061272,0.322971420979094,1.7412624405701,0.186978946652943,0.322556869206261,0.0411508580210023,0.771529556900436,0.483254675194364
P12259,F5,52,26,0.146748884697173,0.0927472728122542,0.113593710090549,0.28352549610646,0.000166021125459494,0.000827068624656548,0.769807374983167,8.19470553886871,0.00420128126282308,0.116567977797841,-0.136088107231281,0.335031739239939,0.227989503925915
Q12931,TRAP1,48,26,0.0910354436827169,0.320014456029541,0.776047991201438,0.870097348625705,0.000172001377073302,0.000172001377073302,,4.14312889432184,0.0418038320056747,0.0418038320056747,-0.142928192575768,0.332484918313036,0.990208922442126
P01009,SERPINA1,52,26,0.243542785408612,0.119320919622207,0.0412435066518238,0.164117665441389,0.000195365575661469,0.000195365575661469,,4.30417893122667,0.0380188434958889,0.0380188434958889,0.157606978251757,0.264471830889788,0.220789141007891
P23284,PPIB,47,26,0.158739920593804,0.171555593865167,0.35481130468156,0.541148534780859,0.000210885206613746,0.000212397957500474,0.126288881216061,2.09539643046897,0.147743385252009,0.182096638823175,0.119449583718779,0.422647965840803,0.803175773247515
P00558,PGK1,51,26,-0.0105161887588357,0.111715658624965,0.925003089406966,0.952964814333771,0.000226495860845937,0.000234893174892092,0.0711019297660674,3.54210999430762,0.0598293068319874,0.944012514759937,0.112850678733032,0.429278931838431,0.0777764836134835
P02745,C1QA,52,26,0.143277371918578,0.271377355574988,0.597524584172925,0.743896440408678,0.000243055274454662,0.00062575230589443,0.945689234860522,6.5915758943861,0.0102462431817075,0.178938076973087,0.101084265346197,0.474691966597331,0.87797467030421
A0A0C4DH31,IGHV1-18,50,26,0.481058296751756,0.254207388206419,0.0584396777547135,0.193131977187751,0.000256843761454775,0.000102917676793889,0.00111989818745904,4.27734085596914,0.0386237287003095,0.416670164163082,0.242833133253301,0.0893589613386883,0.839070535035201
P50453,SERPINB9,49,26,0.0100199397352489,0.105449995937255,0.924298330055057,0.952964814333771,0.000257426105288626,6.19187260388226e-05,0.012845383389578,13.2773774242516,0.000268628014333553,0.0975741050264729,-0.325204081632653,0.0230461706203326,0.0468256176284113
