Genes,akutt,kronisk,retning
GOLM2,-0.447,0.642,motsatt
IGF1,-0.422,0.539,motsatt
CHGA,-0.507,0.48,motsatt
PTX3,-0.322,0.474,motsatt
APMAP,-0.474,0.447,motsatt
FAT1,-0.471,0.437,motsatt
ACTN1,0.388,-0.424,motsatt
DMKN,-0.556,0.417,motsatt
PLXNA4,0.302,-0.301,motsatt
PRKCA,0.276,-0.299,motsatt
PIP4K2A,0.313,-0.284,motsatt
ACTN4,0.271,-0.242,motsatt
