utfall,rho,p,beta,lo,hi,n
VO2max.kg,-0.368862410409224,0.0636906431982871,-0.368547008547008,-0.759795918276049,0.0227019011820317,26
M_mg.kg.min,-0.158290598290598,0.43820209051311,-0.158290598290598,-0.574270724387243,0.257689527806047,26
