Genes,module_centred,module_uncentred
ATP5MF,M2,M2
UBASH3A,M2,M2
ANTXR2,M1,M1
MTPN,M1,M2
TPI1,M1,M2
EIF4A1,M2,M2
ACTR2,M2,M2
PSMC5,M1,M1
H4C1,M1,M1
RAB1A,M2,M2
RAN,M1,M1
RAP1A,M2,M2
GRB2,M2,M2
RAC1,M2,M2
YWHAZ,M2,M2
TPM4,M2,M2
ACTA1,M2,M2
TUBA4A,M2,M2
CCT2,M2,M2
RELN,M1,M1
GPLD1,M1,M1
IGLV3-21,M1,M1
FBLN2,M1,M1
HSPG2,M1,M1
CLTC,M2,M2
SPTBN1,M2,M2
GUCY1A1,M2,M2
GUCY1B1,M2,M2
OGDH,M2,M2
AKAP12,M1,M1
TAP1,M2,M2
CFHR1,M1,M1
EIF4G1,M2,M2
PTK2,M2,M2
FMOD,M1,M1
DPT,M1,M1
KLC1,M2,M2
LRP1,M1,M1
PCDH1,M1,M1
FGL1,M2,M1
APOBR,M1,M1
NEXN,M2,M2
ASPH,M2,M1
EFEMP1,M1,M1
FLII,M2,M2
SPP2,M1,M1
STK3,M2,M2
PSMD2,M2,M2
MMRN1,M2,M2
NNT,M2,M2
MADCAM1,M1,M1
DCTN2,M2,M2
IQGAP2,M2,M2
ALCAM,M1,M1
CAMK1,M2,M2
DCTN1,M2,M2
DYNC1H1,M2,M2
FLOT2,M2,M2
LRRC32,M2,M2
GAS6,M1,M1
SPARCL1,M1,M1
FAT1,M1,M1
ITPR2,M2,M2
GANAB,M2,M1
LTBP1,M2,M2
LTBP2,M1,M1
KPNB1,M2,M2
RAB3GAP1,M2,M2
POSTN,M1,M1
PLEC,M2,M2
PON3,M1,M1
RCN1,M1,M1
SEC23A,M2,M2
TGFBI,M1,M1
NSDHL,M2,M2
STXBP2,M2,M2
SEPTIN7,M2,M2
DPYSL2,M2,M2
DBN1,M2,M2
MAN2A1,M1,M1
HADH,M2,M2
INF2,M2,M2
EXOC3L2,M2,M2
DPY19L1,M2,M2
LRRFIP1,M2,M2
EML3,M1,M1
SVEP1,M1,M1
GRIPAP1,M2,M2
HSD17B12,M2,M2
MIA3,M1,M1
LY6G6F,M2,M2
HECTD3,M2,M2
UBR4,M2,M2
HACD4,M2,M2
DMKN,M1,M1
VASN,M1,M1
TTC27,M2,M2
CNST,M2,M2
TMED8,M2,M2
APOA5,M1,M1
CSPG4,M1,M1
PLXDC2,M1,M1
FAT4,M1,M1
PACS1,M2,M2
CD109,M1,M1
NBEAL2,M2,M2
UNC13D,M2,M2
ADAMTS13,M1,M1
SND1,M2,M2
CYFIP1,M2,M2
DOK3,M2,M2
TAOK1,M2,M2
CHST3,M1,M1
HUWE1,M2,M2
ABI3BP,M1,M1
ADAMTSL2,M1,M1
FERMT3,M2,M2
PKHD1L1,M1,M1
TDRP,M2,M2
PLXDC1,M1,M1
KSR1,M2,M2
ALDH16A1,M2,M2
ADGRF5,M1,M1
MUC20,M1,M1
TC2N,M2,M2
GOLM1,M1,M1
PCYOX1L,M1,M1
PCSK9,M1,M1
SCCPDH,M2,M2
UXS1,M2,M2
MCU,M2,M2
TOR1AIP2,M2,M2
ANGPTL6,M1,M1
BPIFB1,M1,M1
SNED1,M1,M1
CEMIP,M1,M1
ITLN1,M1,M1
TMEM40,M2,M2
MADD,M2,M2
ST8SIA4,M1,M1
SORL1,M1,M1
GGH,M1,M1
NEO1,M1,M1
COPS5,M2,M1
PRG4,M1,M1
ATP2A3,M2,M2
ESAM,M1,M2
SYTL4,M2,M2
CCDC126,M1,M1
SIPA1,M1,M1
TXNDC15,M1,M1
CNDP1,M1,M1
ARAP1,M2,M2
PGLYRP2,M1,M1
VPS13A,M2,M2
PSMD1,M2,M1
MMP19,M1,M1
PHB2,M2,M2
MAP3K5,M2,M2
MGLL,M2,M2
COL12A1,M1,M1
ACO2,M2,M2
TSG101,M2,M2
CCT7,M2,M1
SH3GL1,M2,M1
OMD,M1,M1
SDF4,M1,M1
TMEM43,M2,M2
MENT,M1,M1
SFXN3,M2,M2
COLEC11,M1,M1
C1QTNF3,M1,M1
ASPN,M1,M1
UBE2O,M2,M2
TOLLIP,M1,M2
CDH19,M1,M1
CDH23,M1,M1
SLK,M2,M2
TUBB1,M2,M2
GLIPR2,M1,M1
ANTXR1,M1,M1
DOCK5,M2,M2
PPP1R3E,M2,M2
TMT1A,M2,M2
PARVB,M2,M2
ADGRL4,M1,M1
PCDH18,M1,M1
PLXNA4,M2,M2
GP6,M2,M2
CD248,M1,M1
APMAP,M1,M1
CASS4,M2,M2
CRTAC1,M1,M1
RTN4,M2,M2
XPNPEP1,M2,M1
PDLIM7,M2,M2
MXRA5,M1,M1
VPS45,M2,M2
FAM114A2,M1,M1
THSD1,M1,M1
IARS2,M2,M2
CMTM6,M2,M2
BABAM2,M2,M2
TUBA8,M2,M2
B3GNT2,M1,M1
TMOD3,M2,M2
EHD3,M2,M2
VAPA,M2,M2
CALCOCO1,M2,M2
DKK3,M1,M1
TJP2,M2,M2
STOML2,M2,M2
APPL1,M2,M2
ASAP1,M2,M2
HEG1,M1,M1
STRIP2,M2,M2
MAGED2,M2,M2
PSMD13,M2,M2
NSFL1C,M2,M2
ADAMTS8,M1,M1
RTRAF,M2,M2
CLEC11A,M1,M1
CNPY2,M2,M2
DERA,M2,M2
RNF11,M2,M2
USP15,M2,M1
TLN2,M2,M2
MYO5A,M2,M2
HYOU1,M1,M1
CDC42BPB,M2,M2
LRRFIP2,M2,M2
ARFGEF1,M2,M2
IRAG1,M2,M2
FCGBP,M1,M1
COLEC10,M1,M1
